SequenceName	ClusterNumber
fragment37924	1
fragment4349	1
fragment3839	1
fragment38084	1
fragment1993	1
fragment3907	1
fragment3908	1
fragment3915	1
fragment3913	1
fragment1955	1
fragment1968	1
fragment3918	1
fragment2056	1
fragment2210	1
fragment4283	1
fragment37880	1
fragment3756	1
fragment3757	1
fragment4301	1
fragment4297	1
fragment37857	1
fragment2052	1
fragment38100	1
fragment3912	1
fragment3982	1
fragment3980	1
fragment3921	1
fragment3787	1
fragment4094	1
fragment4095	1
fragment4096	1
fragment2692	1
fragment2691	1
fragment2693	1
fragment2694	1
fragment37853	1
fragment1984	1
fragment2606	1
fragment37620	1
fragment38082	1
fragment4093	1
fragment4092	1
fragment4305	1
fragment3746	1
fragment3744	1
fragment2605	1
fragment38099	1
fragment37845	1
fragment37842	1
fragment38079	1
fragment38081	1
fragment11280	1
fragment1989	1
fragment3745	1
fragment3769	1
fragment1979	1
fragment11281	1
fragment4359	1
fragment3775	1
fragment4422	1
fragment4420	1
fragment57	1
fragment67	1
fragment10902	1
fragment10623	1
fragment2550	1
fragment10895	1
fragment11087	1
fragment2715	1
fragment3765	1
fragment10785	1
fragment3767	1
fragment10897	1
fragment11086	1
fragment11088	1
fragment2720	1
fragment3770	1
fragment3703	1
fragment2990	1
fragment11089	1
fragment2722	1
fragment2725	1
fragment2713	1
fragment2248	1
fragment2723	1
fragment2716	1
fragment2717	1
fragment8666	2
fragment4414	2
fragment4281	2
fragment4075	2
fragment8637	2
fragment3741	2
fragment4280	2
fragment8841	2
fragment8641	2
fragment8846	2
fragment4413	2
fragment3742	2
fragment3972	2
fragment3997	2
fragment3998	2
fragment4074	2
fragment4073	2
fragment4080	2
fragment4079	2
fragment4123	2
fragment8788	2
fragment8787	2
fragment8591	2
fragment8615	2
fragment8843	2
fragment4061	2
fragment4027	2
fragment8835	2
fragment8808	2
fragment4077	2
fragment3727	2
fragment8620	2
fragment8578	2
fragment8645	2
fragment8646	2
fragment8659	2
fragment8661	2
fragment8836	2
fragment8849	2
fragment3966	2
fragment4002	2
fragment8801	2
fragment8829	2
fragment4076	2
fragment4078	2
fragment8647	2
fragment3738	2
fragment8650	2
fragment8580	2
fragment8597	2
fragment8874	2
fragment8854	2
fragment8792	2
fragment3983	2
fragment3952	2
fragment4105	2
fragment8888	2
fragment8588	2
fragment8587	2
fragment8663	2
fragment8640	2
fragment8649	2
fragment8669	2
fragment8632	2
fragment8594	2
fragment8623	2
fragment2300	2
fragment8628	2
fragment8865	2
fragment3929	2
fragment3932	2
fragment3928	2
fragment3948	2
fragment4121	2
fragment4033	2
fragment4007	2
fragment8890	2
fragment8644	2
fragment8582	2
fragment8581	2
fragment8634	2
fragment4423	2
fragment4411	2
fragment8572	2
fragment8852	2
fragment8862	2
fragment8612	2
fragment3967	2
fragment3974	2
fragment3956	2
fragment3949	2
fragment3950	2
fragment4110	2
fragment4111	2
fragment4102	2
fragment4036	2
fragment3797	2
fragment3798	2
fragment3999	2
fragment4003	2
fragment3751	2
fragment8884	2
fragment8885	2
fragment8807	2
fragment8871	2
fragment8833	2
fragment8813	2
fragment8803	2
fragment8648	2
fragment8658	2
fragment8592	2
fragment8584	2
fragment3777	2
fragment3779	2
fragment3734	2
fragment38197	2
fragment3939	2
fragment3942	2
fragment3963	2
fragment3954	2
fragment4103	2
fragment4112	2
fragment4071	2
fragment8822	2
fragment8815	2
fragment8831	2
fragment8799	2
fragment8802	2
fragment3730	2
fragment3731	2
fragment38205	2
fragment8850	2
fragment3945	2
fragment3953	2
fragment3955	2
fragment1479	2
fragment1440	2
fragment4115	2
fragment4068	2
fragment4067	2
fragment4100	2
fragment4099	2
fragment38200	2
fragment38206	2
fragment8864	2
fragment8601	2
fragment8861	2
fragment8866	2
fragment3970	2
fragment3959	2
fragment4045	2
fragment4104	2
fragment4057	2
fragment4049	2
fragment4043	2
fragment4097	2
fragment4010	2
fragment3814	2
fragment8785	2
fragment8798	2
fragment8795	2
fragment8797	2
fragment8877	2
fragment8664	2
fragment4025	2
fragment4106	2
fragment4108	2
fragment3794	2
fragment3884	2
fragment4587	2
fragment8860	2
fragment4039	2
fragment4098	2
fragment4014	2
fragment4085	2
fragment3803	2
fragment3813	2
fragment8610	2
fragment8606	2
fragment4038	2
fragment4086	2
fragment3924	2
fragment3783	2
fragment3818	2
fragment3841	2
fragment8781	2
fragment8574	2
fragment8577	2
fragment4028	2
fragment4050	2
fragment4090	2
fragment3802	2
fragment3806	2
fragment3886	2
fragment3885	2
fragment3868	2
fragment3829	2
fragment3831	2
fragment3855	2
fragment3856	2
fragment38195	2
fragment3834	2
fragment3825	2
fragment8608	2
fragment8617	2
fragment4087	2
fragment4089	2
fragment3869	2
fragment3900	2
fragment3870	2
fragment2560	2
fragment3872	2
fragment3849	2
fragment3824	2
fragment3879	2
fragment3880	2
fragment3887	2
fragment3991	2
fragment3877	2
fragment3882	2
fragment3820	2
fragment3826	2
fragment3866	2
fragment3867	2
fragment3893	2
fragment3881	2
fragment3862	2
fragment3852	2
fragment3851	2
fragment3848	2
fragment9495	3
fragment3167	3
fragment3166	3
fragment2532	3
fragment4201	3
fragment6444	3
fragment3197	3
fragment3174	3
fragment10438	3
fragment9492	3
fragment4185	3
fragment4183	3
fragment5258	3
fragment10450	3
fragment25652	3
fragment10443	3
fragment9514	3
fragment10444	3
fragment4181	3
fragment1454	3
fragment4196	3
fragment25686	3
fragment25001	3
fragment25804	3
fragment24734	3
fragment10442	3
fragment9410	3
fragment10439	3
fragment9512	3
fragment9238	3
fragment3093	3
fragment10436	3
fragment8938	3
fragment4182	3
fragment4180	3
fragment1453	3
fragment38070	3
fragment4251	3
fragment4238	3
fragment1448	3
fragment25785	3
fragment25676	3
fragment24787	3
fragment24797	3
fragment25456	3
fragment25459	3
fragment25989	3
fragment24855	3
fragment26039	3
fragment25852	3
fragment2534	3
fragment3081	3
fragment3258	3
fragment3222	3
fragment3220	3
fragment3076	3
fragment3074	3
fragment9576	3
fragment8934	3
fragment10428	3
fragment10440	3
fragment1483	3
fragment4204	3
fragment1509	3
fragment1530	3
fragment24721	3
fragment25009	3
fragment25718	3
fragment25706	3
fragment25792	3
fragment25799	3
fragment25849	3
fragment24782	3
fragment25692	3
fragment24837	3
fragment2785	3
fragment25696	3
fragment24808	3
fragment24675	3
fragment24732	3
fragment25879	3
fragment25800	3
fragment25725	3
fragment24824	3
fragment25602	3
fragment25638	3
fragment25110	3
fragment25109	3
fragment25802	3
fragment24972	3
fragment24990	3
fragment25762	3
fragment25075	3
fragment25824	3
fragment37820	3
fragment3671	3
fragment3224	3
fragment3104	3
fragment3055	3
fragment1512	3
fragment24738	3
fragment25061	3
fragment15914	3
fragment25680	3
fragment24957	3
fragment25727	3
fragment26047	3
fragment26051	3
fragment25752	3
fragment24862	3
fragment26009	3
fragment24807	3
fragment25090	3
fragment24970	3
fragment25837	3
fragment24685	3
fragment24682	3
fragment24995	3
fragment24994	3
fragment37771	3
fragment2136	3
fragment3673	3
fragment2533	3
fragment3314	3
fragment3226	3
fragment3227	3
fragment3078	3
fragment3079	3
fragment3193	3
fragment3190	3
fragment10425	3
fragment9936	3
fragment10493	3
fragment1458	3
fragment4241	3
fragment4239	3
fragment4209	3
fragment24741	3
fragment24988	3
fragment24984	3
fragment24724	3
fragment24736	3
fragment24791	3
fragment24792	3
fragment25006	3
fragment25710	3
fragment25848	3
fragment24962	3
fragment25750	3
fragment25850	3
fragment24975	3
fragment25651	3
fragment25805	3
fragment25782	3
fragment25673	3
fragment25740	3
fragment25794	3
fragment25100	3
fragment24693	3
fragment25599	3
fragment25632	3
fragment24798	3
fragment1898	3
fragment24796	3
fragment37522	3
fragment25759	3
fragment9164	3
fragment9166	3
fragment9478	3
fragment3128	3
fragment9494	3
fragment8989	3
fragment8974	3
fragment9299	3
fragment3347	3
fragment10465	3
fragment3286	3
fragment3246	3
fragment2309	3
fragment10429	3
fragment1490	3
fragment1540	3
fragment25768	3
fragment25700	3
fragment25008	3
fragment25007	3
fragment24735	3
fragment24956	3
fragment24971	3
fragment25786	3
fragment25859	3
fragment25860	3
fragment25741	3
fragment25714	3
fragment24936	3
fragment25531	3
fragment25523	3
fragment25544	3
fragment25541	3
fragment25997	3
fragment26357	3
fragment24958	3
fragment24950	3
fragment24951	3
fragment24801	3
fragment24805	3
fragment24731	3
fragment24966	3
fragment25758	3
fragment25760	3
fragment4166	3
fragment2074	3
fragment2031	3
fragment1966	3
fragment9493	3
fragment10441	3
fragment9463	3
fragment8982	3
fragment3288	3
fragment3253	3
fragment4244	3
fragment4242	3
fragment25819	3
fragment25681	3
fragment25688	3
fragment25687	3
fragment25981	3
fragment25057	3
fragment26365	3
fragment25851	3
fragment26004	3
fragment25833	3
fragment25742	3
fragment25982	3
fragment24838	3
fragment25991	3
fragment25973	3
fragment24959	3
fragment24955	3
fragment25840	3
fragment25843	3
fragment24790	3
fragment24720	3
fragment25661	3
fragment4171	3
fragment4163	3
fragment4147	3
fragment10142	3
fragment24695	3
fragment8984	3
fragment37921	3
fragment4229	3
fragment25053	3
fragment25695	3
fragment25699	3
fragment25734	3
fragment24722	3
fragment25671	3
fragment24841	3
fragment25619	3
fragment25596	3
fragment26001	3
fragment25990	3
fragment25950	3
fragment24844	3
fragment21534	3
fragment24828	3
fragment25012	3
fragment25452	3
fragment24622	3
fragment24619	3
fragment25032	3
fragment25050	3
fragment24777	3
fragment2778	3
fragment4165	3
fragment2087	3
fragment2103	3
fragment2189	3
fragment2076	3
fragment10804	3
fragment8987	3
fragment3244	3
fragment3268	3
fragment4230	3
fragment4235	3
fragment4224	3
fragment4225	3
fragment24757	3
fragment24961	3
fragment24848	3
fragment25528	3
fragment25527	3
fragment25518	3
fragment25621	3
fragment25620	3
fragment25557	3
fragment25558	3
fragment25560	3
fragment25583	3
fragment25951	3
fragment25020	3
fragment25013	3
fragment24620	3
fragment24621	3
fragment24623	3
fragment25038	3
fragment24710	3
fragment24968	3
fragment24973	3
fragment25772	3
fragment25821	3
fragment24774	3
fragment24779	3
fragment2781	3
fragment2780	3
fragment2779	3
fragment4190	3
fragment4162	3
fragment3098	3
fragment4144	3
fragment9332	3
fragment9175	3
fragment10649	3
fragment9160	3
fragment8986	3
fragment10329	3
fragment3284	3
fragment3248	3
fragment3184	3
fragment3241	3
fragment4232	3
fragment4231	3
fragment4218	3
fragment4449	3
fragment24753	3
fragment25738	3
fragment24825	3
fragment1895	3
fragment26348	3
fragment25571	3
fragment25019	3
fragment25021	3
fragment25014	3
fragment25015	3
fragment24793	3
fragment24649	3
fragment24615	3
fragment25028	3
fragment25469	3
fragment25660	3
fragment25490	3
fragment25665	3
fragment25607	3
fragment10148	3
fragment10149	3
fragment9191	3
fragment9277	3
fragment9293	3
fragment9291	3
fragment9285	3
fragment9278	3
fragment9176	3
fragment9171	3
fragment9404	3
fragment9388	3
fragment3331	3
fragment3178	3
fragment1580	3
fragment3308	3
fragment4234	3
fragment25737	3
fragment24818	3
fragment10417	3
fragment25565	3
fragment24907	3
fragment24898	3
fragment35285	3
fragment24931	3
fragment24902	3
fragment25025	3
fragment25036	3
fragment25041	3
fragment25046	3
fragment25773	3
fragment26045	3
fragment25662	3
fragment25825	3
fragment25815	3
fragment4154	3
fragment10050	3
fragment10192	3
fragment10193	3
fragment10272	3
fragment10121	3
fragment1919	3
fragment3291	3
fragment3236	3
fragment3647	3
fragment3186	3
fragment3238	3
fragment4213	3
fragment4211	3
fragment25749	3
fragment25753	3
fragment24845	3
fragment25613	3
fragment4357	3
fragment25623	3
fragment25543	3
fragment25579	3
fragment25946	3
fragment26025	3
fragment6751	3
fragment25494	3
fragment24888	3
fragment25047	3
fragment24770	3
fragment25774	3
fragment25777	3
fragment4176	3
fragment3151	3
fragment3142	3
fragment3141	3
fragment10051	3
fragment10848	3
fragment10878	3
fragment10243	3
fragment9413	3
fragment9352	3
fragment9994	3
fragment9464	3
fragment6627	3
fragment3360	3
fragment3261	3
fragment24849	3
fragment25635	3
fragment24690	3
fragment25547	3
fragment25585	3
fragment25082	3
fragment25888	3
fragment33619	3
fragment25895	3
fragment24897	3
fragment25045	3
fragment25039	3
fragment24795	3
fragment24789	3
fragment4446	3
fragment10053	3
fragment10052	3
fragment10846	3
fragment10844	3
fragment10836	3
fragment10199	3
fragment10257	3
fragment10256	3
fragment10276	3
fragment10130	3
fragment10127	3
fragment9375	3
fragment9372	3
fragment3310	3
fragment3255	3
fragment3257	3
fragment24842	3
fragment5622	3
fragment25624	3
fragment9145	3
fragment25595	3
fragment9567	3
fragment22874	3
fragment25980	3
fragment25912	3
fragment26345	3
fragment24886	3
fragment38229	3
fragment4149	3
fragment3160	3
fragment3102	3
fragment10855	3
fragment10333	3
fragment10293	3
fragment10351	3
fragment10134	3
fragment9345	3
fragment9368	3
fragment9380	3
fragment3274	3
fragment3271	3
fragment24840	3
fragment25894	3
fragment25955	3
fragment25969	3
fragment25902	3
fragment24896	3
fragment3122	3
fragment3118	3
fragment10796	3
fragment10828	3
fragment10158	3
fragment10218	3
fragment10345	3
fragment10398	3
fragment10332	3
fragment10303	3
fragment10279	3
fragment10281	3
fragment10265	3
fragment10263	3
fragment1625	3
fragment10388	3
fragment10311	3
fragment9382	3
fragment24699	3
fragment37765	3
fragment24937	3
fragment25920	3
fragment25472	3
fragment24910	3
fragment3121	3
fragment6710	3
fragment10175	3
fragment10190	3
fragment10187	3
fragment10343	3
fragment10151	3
fragment10152	3
fragment10301	3
fragment10297	3
fragment10095	3
fragment10072	3
fragment10122	3
fragment10135	3
fragment9536	3
fragment24700	3
fragment9313	3
fragment9261	3
fragment9433	3
fragment9487	3
fragment24860	3
fragment25890	3
fragment25918	3
fragment24921	3
fragment3159	3
fragment3152	3
fragment3143	3
fragment10366	3
fragment10300	3
fragment10268	3
fragment10114	3
fragment10087	3
fragment10083	3
fragment10096	3
fragment10100	3
fragment10829	3
fragment9427	3
fragment9369	3
fragment9393	3
fragment9418	3
fragment9417	3
fragment9229	3
fragment9228	3
fragment9401	3
fragment9381	3
fragment9379	3
fragment24851	3
fragment25482	3
fragment25934	3
fragment24903	3
fragment3153	3
fragment3112	3
fragment3124	3
fragment3115	3
fragment28815	3
fragment10235	3
fragment10234	3
fragment10163	3
fragment37818	3
fragment38152	3
fragment24665	3
fragment10284	3
fragment10285	3
fragment10086	3
fragment10116	3
fragment10118	3
fragment9573	3
fragment9336	3
fragment9195	3
fragment9995	3
fragment9359	3
fragment9424	3
fragment24846	3
fragment25957	3
fragment25915	3
fragment24904	3
fragment3145	3
fragment8975	3
fragment8976	3
fragment10076	3
fragment37543	3
