SequenceName	ClusterNumber
fragment2220	-1
fragment38100	-1
fragment1968	-1
fragment38218	-1
fragment2163	-1
fragment37872	-1
fragment3629	1
fragment37875	1
fragment37876	1
fragment37629	1
fragment37631	1
fragment37606	1
fragment2997	1
fragment3633	1
fragment38075	1
fragment37612	1
fragment1594	1
fragment1592	1
fragment11090	1
fragment37867	1
fragment1925	1
fragment1928	1
fragment1927	1
fragment1930	1
fragment1944	1
fragment37877	1
fragment37881	1
fragment4343	1
fragment11287	1
fragment1923	1
fragment1922	1
fragment1938	1
fragment1936	1
fragment27081	1
fragment2148	1
fragment2016	1
fragment1939	1
fragment1941	1
fragment4334	1
fragment4342	1
fragment2594	1
fragment24652	1
fragment11376	1
fragment7485	1
fragment1940	1
fragment1924	1
fragment1937	1
fragment4346	1
fragment3046	1
fragment3047	1
fragment1931	1
fragment1933	1
fragment4344	1
fragment9720	1
fragment9616	1
fragment10470	1
fragment8686	1
fragment9594	1
fragment2734	1
fragment2125	1
fragment7484	1
fragment4341	1
fragment4273	1
fragment4134	1
fragment9593	1
fragment10821	1
fragment10819	1
fragment2739	1
fragment2153	1
fragment10655	1
fragment4338	1
fragment4337	1
fragment9647	1
fragment9495	1
fragment38155	1
fragment38156	1
fragment38145	1
fragment4348	1
fragment4307	1
fragment4329	1
fragment2613	1
fragment8769	1
fragment8771	1
fragment9948	1
fragment9947	1
fragment2736	1
fragment2738	1
fragment2636	1
fragment9649	1
fragment9645	1
fragment9672	1
fragment9620	1
fragment9610	1
fragment9614	1
fragment9627	1
fragment9629	1
fragment9625	1
fragment9626	1
fragment3167	1
fragment10496	1
fragment9981	1
fragment14467	1
fragment3355	1
fragment9954	1
fragment10820	1
fragment2066	1
fragment2070	1
fragment2068	1
fragment2012	1
fragment9729	1
fragment9639	1
fragment9704	1
fragment9630	1
fragment9735	1
fragment3166	1
fragment2532	1
fragment4201	1
fragment8666	1
fragment4414	1
fragment4281	1
fragment4075	1
fragment3207	1
fragment2699	1
fragment2702	1
fragment11289	1
fragment2809	1
fragment11184	1
fragment11183	1
fragment38240	1
fragment10607	1
fragment22909	1
fragment10877	1
fragment10815	1
fragment2621	1
fragment2632	1
fragment6444	1
fragment3197	1
fragment3174	1
fragment10438	1
fragment9492	1
fragment37924	1
fragment4349	1
fragment8637	1
fragment3741	1
fragment4280	1
fragment3365	1
fragment3209	1
fragment2657	1
fragment3480	1
fragment2212	1
fragment3349	1
fragment10502	1
fragment2440	1
fragment9943	1
fragment3056	1
fragment3006	1
fragment3007	1
fragment5733	1
fragment37615	1
fragment22705	1
fragment37189	1
fragment37085	1
fragment1583	1
fragment23973	1
fragment9945	1
fragment3636	1
fragment9692	1
fragment9643	1
fragment9676	1
fragment9680	1
fragment9661	1
fragment4185	1
fragment4183	1
fragment5258	1
fragment10450	1
fragment3839	1
fragment38084	1
fragment1993	1
fragment8841	1
fragment8641	1
fragment8846	1
fragment4413	1
fragment3742	1
fragment3972	1
fragment3997	1
fragment3998	1
fragment4074	1
fragment4073	1
fragment4080	1
fragment4079	1
fragment4123	1
fragment2648	1
fragment6628	1
fragment2775	1
fragment2018	1
fragment2017	1
fragment10504	1
fragment10503	1
fragment3352	1
fragment3468	1
fragment38228	1
fragment30260	1
fragment24594	1
fragment33468	1
fragment33467	1
fragment33470	1
fragment37072	1
fragment37071	1
fragment37068	1
fragment37102	1
fragment22716	1
fragment33014	1
fragment9956	1
fragment12200	1
fragment9950	1
fragment10510	1
fragment3028	1
fragment2639	1
fragment3030	1
fragment3019	1
fragment64	1
fragment9727	1
fragment2027	1
fragment63	1
fragment9689	1
fragment5152	1
fragment9677	1
fragment9996	1
fragment9668	1
fragment9655	1
fragment9652	1
fragment9654	1
fragment25652	1
fragment10443	1
fragment9514	1
fragment10444	1
fragment3907	1
fragment3908	1
fragment3915	1
fragment3913	1
fragment1955	1
fragment8788	1
fragment8787	1
fragment8591	1
fragment8615	1
fragment8843	1
fragment4061	1
fragment4027	1
fragment8835	1
fragment8808	1
fragment4077	1
fragment4272	1
fragment4271	1
fragment4270	1
fragment2653	1
fragment38158	1
fragment9980	1
fragment9805	1
fragment3350	1
fragment3351	1
fragment2333	1
fragment2342	1
fragment23524	1
fragment2585	1
fragment10933	1
fragment10934	1
fragment3465	1
fragment3381	1
fragment33481	1
fragment33476	1
fragment37237	1
fragment37197	1
fragment37029	1
fragment36701	1
fragment6813	1
fragment12934	1
fragment13343	1
fragment23785	1
fragment23897	1
fragment23782	1
fragment23781	1
fragment22717	1
fragment23976	1
fragment2597	1
fragment38191	1
fragment2918	1
fragment23588	1
fragment10509	1
fragment9949	1
fragment9951	1
fragment10818	1
fragment2637	1
fragment3027	1
fragment10807	1
fragment9715	1
fragment4181	1
fragment1454	1
fragment4196	1
fragment25686	1
fragment25001	1
fragment25804	1
fragment24734	1
fragment10442	1
fragment9410	1
fragment10439	1
fragment9512	1
fragment9238	1
fragment3093	1
fragment10436	1
fragment8938	1
fragment3918	1
fragment2056	1
fragment2210	1
fragment4283	1
fragment37880	1
fragment3756	1
fragment3757	1
fragment4301	1
fragment4297	1
fragment37857	1
fragment2052	1
fragment3727	1
fragment8620	1
fragment8578	1
fragment8645	1
fragment8646	1
fragment8659	1
fragment8661	1
fragment8836	1
fragment8849	1
fragment3966	1
fragment4002	1
fragment8801	1
fragment8829	1
fragment4076	1
fragment4078	1
fragment4331	1
fragment2654	1
fragment2651	1
fragment9753	1
fragment37944	1
fragment9759	1
fragment9751	1
fragment2806	1
fragment2335	1
fragment2334	1
fragment37909	1
fragment9500	1
fragment10380	1
fragment9480	1
fragment10432	1
fragment10431	1
fragment2754	1
fragment2664	1
fragment2731	1
fragment1947	1
fragment1597	1
fragment1596	1
fragment3677	1
fragment37873	1
fragment37856	1
fragment3374	1
fragment3373	1
fragment3376	1
fragment3001	1
fragment3002	1
fragment5263	1
fragment5266	1
fragment3445	1
fragment3450	1
fragment3451	1
fragment37157	1
fragment37155	1
fragment37141	1
fragment37125	1
fragment37122	1
fragment12937	1
fragment12933	1
fragment13349	1
fragment13346	1
fragment2745	1
fragment33041	1
fragment33042	1
fragment22364	1
fragment130	1
fragment3560	1
fragment22934	1
fragment30125	1
fragment3023	1
fragment3022	1
fragment2634	1
fragment10826	1
fragment10809	1
fragment3645	1
fragment2306	1
fragment4182	1
fragment4180	1
fragment1453	1
fragment38070	1
fragment4251	1
fragment4238	1
fragment1448	1
fragment25785	1
fragment25676	1
fragment24787	1
fragment24797	1
fragment25456	1
fragment25459	1
fragment25989	1
fragment24855	1
fragment26039	1
fragment25852	1
fragment2534	1
fragment3081	1
fragment3258	1
fragment3222	1
fragment3220	1
fragment3076	1
fragment3074	1
fragment9576	1
fragment8934	1
fragment10428	1
fragment10440	1
fragment3912	1
fragment3982	1
fragment3980	1
fragment3921	1
fragment3787	1
fragment4094	1
fragment4095	1
fragment4096	1
fragment2692	1
fragment2691	1
fragment2693	1
fragment2694	1
fragment37853	1
fragment1984	1
fragment2606	1
fragment37620	1
fragment8647	1
fragment3738	1
fragment8650	1
fragment8580	1
fragment8597	1
fragment8874	1
fragment8854	1
fragment8792	1
fragment3983	1
fragment3952	1
fragment4105	1
fragment8888	1
fragment3206	1
fragment3205	1
fragment9979	1
fragment9977	1
fragment10519	1
fragment2592	1
fragment9846	1
fragment2681	1
fragment5444	1
fragment2339	1
fragment9044	1
fragment9505	1
fragment12867	1
fragment11478	1
fragment11479	1
fragment2741	1
fragment22697	1
fragment2749	1
fragment2760	1
fragment38233	1
fragment38232	1
fragment3680	1
fragment3679	1
fragment3684	1
fragment2662	1
fragment3378	1
fragment3377	1
fragment37154	1
fragment37153	1
fragment37191	1
fragment37156	1
fragment37116	1
fragment37100	1
fragment37110	1
fragment23071	1
fragment27879	1
fragment37915	1
fragment22607	1
fragment37593	1
fragment3031	1
fragment1483	1
fragment4204	1
fragment1509	1
fragment1530	1
fragment24721	1
fragment25009	1
fragment25718	1
fragment25706	1
fragment25792	1
fragment25799	1
fragment25849	1
fragment24782	1
fragment25692	1
fragment24837	1
fragment2785	1
fragment25696	1
fragment24808	1
fragment24675	1
fragment24732	1
fragment25879	1
fragment25800	1
fragment25725	1
fragment24824	1
fragment25602	1
fragment25638	1
fragment25110	1
fragment25109	1
fragment25802	1
fragment24972	1
fragment24990	1
fragment25762	1
fragment25075	1
fragment25824	1
fragment37820	1
fragment3671	1
fragment3224	1
fragment3104	1
fragment3055	1
fragment38082	1
fragment4093	1
fragment4092	1
fragment4305	1
fragment3746	1
fragment3744	1
fragment2605	1
fragment38099	1
fragment37845	1
fragment37842	1
fragment8588	1
fragment8587	1
fragment8663	1
fragment8640	1
fragment8649	1
fragment8669	1
fragment8632	1
fragment8594	1
fragment8623	1
fragment2300	1
fragment8628	1
fragment8865	1
fragment3929	1
fragment3932	1
fragment3928	1
fragment3948	1
fragment4121	1
fragment4033	1
fragment4007	1
fragment8890	1
fragment31670	1
fragment10521	1
fragment2822	1
fragment10518	1
fragment10517	1
fragment9983	1
fragment1909	1
fragment9845	1
fragment9808	1
fragment7674	1
fragment3697	1
fragment4265	1
fragment7491	1
fragment7495	1
fragment3690	1
fragment5437	1
fragment7028	1
fragment5456	1
fragment5455	1
fragment5452	1
fragment5443	1
fragment5442	1
fragment2337	1
fragment2338	1
fragment9467	1
fragment9468	1
fragment9475	1
fragment9027	1
fragment9504	1
fragment9502	1
fragment12868	1
fragment12865	1
fragment11388	1
fragment2041	1
fragment2160	1
fragment3613	1
fragment22596	1
fragment37452	1
fragment22340	1
fragment14509	1
fragment22931	1
fragment3681	1
fragment3682	1
fragment2670	1
fragment2669	1
fragment3417	1
fragment37176	1
fragment37172	1
fragment37171	1
fragment37148	1
fragment37159	1
fragment37034	1
fragment37097	1
fragment37120	1
fragment36691	1
fragment37090	1
fragment37139	1
fragment37104	1
fragment37200	1
fragment37105	1
fragment30015	1
fragment29844	1
fragment31644	1
fragment29860	1
fragment6676	1
fragment32619	1
fragment16320	1
fragment27924	1
fragment23587	1
fragment140	1
fragment141	1
fragment31745	1
fragment33009	1
fragment21574	1
fragment3024	1
fragment2635	1
fragment1512	1
fragment24738	1
fragment25061	1
fragment15914	1
fragment25680	1
fragment24957	1
fragment25727	1
fragment26047	1
fragment26051	1
fragment25752	1
fragment24862	1
fragment26009	1
fragment24807	1
fragment25090	1
fragment24970	1
fragment25837	1
fragment24685	1
fragment24682	1
fragment24995	1
fragment24994	1
fragment37771	1
fragment2136	1
fragment3673	1
fragment2533	1
fragment3314	1
fragment3226	1
fragment3227	1
fragment3078	1
fragment3079	1
fragment3193	1
fragment3190	1
fragment10425	1
fragment9936	1
fragment10493	1
fragment38079	1
fragment38081	1
fragment11280	1
fragment1989	1
fragment3745	1
fragment3769	1
fragment8644	1
fragment8582	1
fragment8581	1
fragment8634	1
fragment4423	1
fragment4411	1
fragment8572	1
fragment8852	1
fragment8862	1
fragment8612	1
fragment3967	1
fragment3974	1
fragment3956	1
fragment3949	1
fragment3950	1
fragment4110	1
fragment4111	1
fragment4102	1
fragment4036	1
fragment3797	1
fragment3798	1
fragment3999	1
fragment4003	1
fragment3751	1
fragment8884	1
fragment8885	1
fragment8807	1
fragment8871	1
fragment8833	1
fragment8813	1
fragment8803	1
fragment31666	1
fragment31679	1
fragment9800	1
fragment7610	1
fragment7609	1
fragment4262	1
fragment4261	1
fragment2596	1
fragment2835	1
fragment9757	1
fragment9756	1
fragment5434	1
fragment5679	1
fragment5678	1
fragment5450	1
fragment1996	1
fragment2240	1
fragment2161	1
fragment2084	1
fragment2111	1
fragment3571	1
fragment22595	1
fragment22348	1
fragment22694	1
fragment2966	1
fragment22347	1
fragment22346	1
fragment3455	1
fragment3456	1
fragment3416	1
fragment3653	1
fragment37039	1
fragment37096	1
fragment37094	1
fragment37127	1
fragment37142	1
fragment37136	1
fragment37137	1
fragment37086	1
fragment23914	1
fragment29833	1
fragment22594	1
fragment12941	1
fragment12942	1
fragment3579	1
fragment3484	1
fragment27183	1
fragment29987	1
fragment11467	1
fragment33027	1
fragment23561	1
fragment15600	1
fragment11495	1
fragment22962	1
fragment22961	1
fragment35365	1
fragment1458	1
fragment4241	1
fragment4239	1
fragment4209	1
fragment24741	1
fragment24988	1
fragment24984	1
fragment24724	1
fragment24736	1
fragment24791	1
fragment24792	1
fragment25006	1
fragment25710	1
fragment25848	1
fragment24962	1
fragment25750	1
fragment25850	1
fragment24975	1
fragment25651	1
fragment25805	1
fragment25782	1
fragment25673	1
fragment25740	1
fragment25794	1
fragment25100	1
fragment24693	1
fragment25599	1
fragment25632	1
fragment24798	1
fragment1898	1
fragment24796	1
fragment37522	1
fragment25759	1
fragment9164	1
fragment9166	1
fragment9478	1
fragment3128	1
fragment9494	1
fragment8989	1
fragment8974	1
fragment9299	1
fragment3347	1
fragment10465	1
fragment3286	1
fragment3246	1
fragment2309	1
fragment10429	1
fragment1979	1
fragment11281	1
fragment4359	1
fragment3775	1
fragment4422	1
fragment4420	1
fragment8648	1
fragment8658	1
fragment8592	1
fragment8584	1
fragment3777	1
fragment3779	1
fragment3734	1
fragment38197	1
fragment3939	1
fragment3942	1
fragment3963	1
fragment3954	1
fragment4103	1
fragment4112	1
fragment4071	1
fragment8822	1
fragment8815	1
fragment8831	1
fragment8799	1
fragment8802	1
fragment31669	1
fragment31667	1
fragment9984	1
fragment10531	1
fragment31676	1
fragment31674	1
fragment2677	1
fragment9801	1
fragment9777	1
fragment3691	1
fragment37925	1
fragment6984	1
fragment37607	1
fragment5436	1
fragment5562	1
fragment5454	1
fragment5449	1
fragment9506	1
fragment9474	1
fragment9079	1
fragment9012	1
fragment2142	1
fragment2170	1
fragment2152	1
fragment22698	1
fragment2344	1
fragment25437	1
fragment25432	1
fragment3651	1
fragment3434	1
fragment37168	1
fragment37166	1
fragment37175	1
fragment37040	1
fragment37145	1
fragment37133	1
fragment37132	1
fragment36694	1
fragment36693	1
fragment36757	1
fragment37026	1
fragment37088	1
fragment29797	1
fragment29799	1
fragment29852	1
fragment29829	1
fragment31625	1
fragment31626	1
fragment22582	1
fragment3576	1
fragment3489	1
fragment3488	1
fragment2536	1
fragment10	1
fragment22	1
fragment23540	1
fragment13358	1
fragment12213	1
fragment12210	1
fragment12215	1
fragment12196	1
fragment12260	1
fragment24630	1
fragment24629	1
fragment28087	1
fragment1490	1
fragment1540	1
fragment25768	1
fragment25700	1
fragment25008	1
fragment25007	1
fragment24735	1
fragment24956	1
fragment24971	1
fragment25786	1
fragment25859	1
fragment25860	1
fragment25741	1
fragment25714	1
fragment24936	1
fragment25531	1
fragment25523	1
fragment25544	1
fragment25541	1
fragment25997	1
fragment26357	1
fragment24958	1
fragment24950	1
fragment24951	1
fragment24801	1
fragment24805	1
fragment24731	1
fragment24966	1
fragment25758	1
fragment25760	1
fragment4166	1
fragment2074	1
fragment2031	1
fragment1966	1
fragment9493	1
fragment10441	1
fragment9463	1
fragment8982	1
fragment3288	1
