SequenceName	ClusterNumber
fragment37612	1
fragment37877	1
fragment37881	1
fragment37606	2
fragment1594	2
fragment1592	2
fragment11090	3
fragment4343	3
fragment4334	3
fragment4342	3
fragment4346	3
fragment3046	3
fragment3047	3
fragment4344	3
fragment4341	3
fragment4338	3
fragment4337	3
fragment2220	-1
fragment1490	-1
fragment1458	-1
fragment1512	-1
fragment1483	-1
fragment1453	-1
fragment1454	-1
fragment1509	-1
fragment1448	-1
fragment4251	4
fragment4238	4
fragment1530	4
fragment4185	5
fragment4181	5
fragment4182	5
fragment4180	5
fragment1540	5
fragment24782	6
fragment25692	6
fragment24837	6
fragment2785	6
fragment25696	6
fragment24808	6
fragment24675	6
fragment24732	6
fragment24797	7
fragment25879	7
fragment26047	7
fragment26051	7
fragment25752	7
fragment25750	7
fragment25850	7
fragment24975	7
fragment25651	7
fragment25805	7
fragment25782	7
fragment25673	7
fragment25740	7
fragment25794	7
fragment24971	7
fragment25786	7
fragment25859	7
fragment25860	7
fragment25741	7
fragment25714	7
fragment26365	7
fragment25851	7
fragment26004	7
fragment25833	7
fragment25742	7
fragment25982	7
fragment25734	7
fragment24722	7
fragment25671	7
fragment24961	7
fragment25738	7
fragment25737	7
fragment25749	7
fragment25753	7
fragment25090	8
fragment24796	8
fragment25997	8
fragment26357	8
fragment24958	8
fragment24950	8
fragment24951	8
fragment25991	8
fragment25973	8
fragment24959	8
fragment24955	8
fragment26001	8
fragment25990	8
fragment25950	8
fragment24844	8
fragment21534	8
fragment24828	8
fragment25012	8
fragment25452	8
fragment25951	8
fragment25020	8
fragment25013	8
fragment25019	8
fragment25021	8
fragment25014	8
fragment25015	8
fragment24793	8
fragment24907	8
fragment24898	8
fragment35285	8
fragment24931	8
fragment24902	8
fragment25946	8
fragment26025	8
fragment6751	8
fragment25494	8
fragment24888	8
fragment25082	8
fragment25888	8
fragment33619	8
fragment25895	8
fragment24897	8
fragment9567	8
fragment22874	8
fragment25980	8
fragment25912	8
fragment26345	8
fragment24886	8
fragment25894	8
fragment25955	8
fragment25969	8
fragment25902	8
fragment24896	8
fragment25920	8
fragment25472	8
fragment24910	8
fragment25890	8
fragment25918	8
fragment24921	8
fragment25482	8
fragment25934	8
fragment24903	8
fragment25957	8
fragment25915	8
fragment24904	8
fragment4458	8
fragment25500	8
fragment25916	8
fragment24905	8
fragment25979	8
fragment24909	8
fragment25930	8
fragment24918	8
fragment25928	8
fragment9414	8
fragment25968	8
fragment9318	8
fragment25899	8
fragment24889	8
fragment25910	8
fragment25904	8
fragment25063	8
fragment24900	8
fragment24890	8
fragment24887	8
fragment24972	9
fragment24970	9
fragment25837	9
fragment24685	9
fragment24682	9
fragment37522	9
fragment24801	9
fragment24805	9
fragment25840	9
fragment25843	9
fragment24790	9
fragment24622	9
fragment24619	9
fragment25032	9
fragment25050	9
fragment24620	9
fragment24621	9
fragment24623	9
fragment25038	9
fragment24710	9
fragment24968	9
fragment24973	9
fragment25772	9
fragment24649	9
fragment24615	9
fragment25028	9
fragment25469	9
fragment25025	9
fragment25036	9
fragment25041	9
fragment25046	9
fragment25773	9
fragment25047	9
fragment24770	9
fragment25774	9
fragment25777	9
fragment25045	9
fragment25039	9
fragment24795	9
fragment24789	9
fragment26039	10
fragment25602	10
fragment25638	10
fragment25110	10
fragment25109	10
fragment25802	10
fragment26009	10
fragment24807	10
fragment24693	10
fragment25599	10
fragment25632	10
fragment24798	10
fragment1898	10
fragment25531	10
fragment25523	10
fragment25544	10
fragment25541	10
fragment25619	10
fragment25596	10
fragment25528	10
fragment25527	10
fragment25518	10
fragment25621	10
fragment25620	10
fragment25557	10
fragment25558	10
fragment25560	10
fragment25583	10
fragment1895	10
fragment26348	10
fragment25571	10
fragment10417	10
fragment25565	10
fragment25613	10
fragment4357	10
fragment25623	10
fragment25543	10
fragment25579	10
fragment25635	10
fragment24690	10
fragment25547	10
fragment25585	10
fragment5622	10
fragment25624	10
fragment9145	10
fragment25595	10
fragment25652	11
fragment25001	11
fragment25456	11
fragment25459	11
fragment25989	11
fragment24855	11
fragment25800	11
fragment25725	11
fragment24824	11
fragment24862	11
fragment25100	11
fragment24936	11
fragment24838	11
fragment24841	11
fragment24848	11
fragment24825	11
fragment24818	11
fragment24845	11
fragment24849	11
fragment24842	11
fragment24840	11
fragment24937	11
fragment24860	11
fragment24851	11
fragment24846	11
fragment24843	11
fragment24872	11
fragment24870	11
fragment24876	11
fragment24866	11
fragment24869	11
fragment24873	11
fragment6444	12
fragment25686	12
fragment25785	12
fragment25676	12
fragment24787	12
fragment24721	12
fragment25009	12
fragment25718	12
fragment25706	12
fragment25792	12
fragment25799	12
fragment25849	12
fragment24738	12
fragment25061	12
fragment15914	12
fragment25680	12
fragment24957	12
fragment25727	12
fragment24741	12
fragment24988	12
fragment24984	12
fragment24724	12
fragment24736	12
fragment24791	12
fragment24792	12
fragment25006	12
fragment25710	12
fragment25848	12
fragment24962	12
fragment25768	12
fragment25700	12
fragment25008	12
fragment25007	12
fragment24735	12
fragment24956	12
fragment25819	12
fragment25681	12
fragment25688	12
fragment25687	12
fragment25981	12
fragment25057	12
fragment25053	12
fragment25695	12
fragment25699	12
fragment24757	12
fragment4449	12
fragment24753	12
fragment4201	13
fragment4183	13
fragment4196	13
fragment25804	13
fragment24734	13
fragment38070	13
fragment25852	13
fragment4204	13
fragment24990	13
fragment25762	13
fragment25075	13
fragment25824	13
fragment24995	13
fragment24994	13
fragment4241	13
fragment4239	13
fragment4209	13
fragment25759	13
fragment24731	13
fragment24966	13
fragment25758	13
fragment25760	13
fragment4244	13
fragment4242	13
fragment24720	13
fragment25661	13
fragment4229	13
fragment24777	13
fragment4230	13
fragment4235	13
fragment4224	13
fragment4225	13
fragment25821	13
fragment24774	13
fragment24779	13
fragment4232	13
fragment4231	13
fragment4218	13
fragment25660	13
fragment25490	13
fragment25665	13
fragment25607	13
fragment4234	13
fragment26045	13
fragment25662	13
fragment25825	13
fragment25815	13
fragment4213	13
fragment4211	13
fragment2781	14
fragment2780	14
fragment4163	15
fragment4147	15
fragment4165	15
fragment2779	15
fragment4190	15
fragment4162	15
fragment3098	15
fragment4144	15
fragment4154	15
fragment4176	15
fragment3151	15
fragment3142	15
fragment3141	15
fragment4446	15
fragment38229	15
fragment4149	15
fragment3160	15
fragment3102	15
fragment3122	15
fragment3118	15
fragment3121	15
fragment3159	15
fragment3152	15
fragment3143	15
fragment3153	15
fragment3112	15
fragment3124	15
fragment3115	15
fragment3145	15
fragment3095	15
fragment3200	15
fragment3133	15
fragment3173	15
fragment3090	15
fragment3132	15
fragment3149	15
fragment3147	15
fragment3120	15
fragment3113	15
fragment37771	16
fragment9164	16
fragment9166	16
fragment9478	16
fragment3128	16
fragment4166	16
fragment4171	16
fragment2778	16
fragment2074	17
fragment2087	17
fragment2103	17
fragment2189	17
fragment2076	17
fragment37820	18
fragment3671	18
fragment2136	18
fragment3673	18
fragment9494	18
fragment2031	18
fragment1966	18
fragment9493	18
fragment10441	18
fragment24695	19
fragment10804	19
fragment9332	19
fragment9175	19
fragment10649	19
fragment9160	19
fragment9191	19
fragment9277	19
fragment9293	19
fragment9291	19
fragment9285	19
fragment9278	19
fragment9176	19
fragment9171	19
fragment9404	19
fragment9388	19
fragment9413	19
fragment9352	19
fragment9994	19
fragment9464	19
fragment6627	19
fragment9375	19
fragment9372	19
fragment9345	19
fragment9368	19
fragment9380	19
fragment9382	19
fragment24699	19
fragment37765	19
fragment9536	19
fragment24700	19
fragment9313	19
fragment9261	19
fragment9433	19
fragment9487	19
fragment9427	19
fragment9369	19
fragment9393	19
fragment9418	19
fragment9417	19
fragment9229	19
fragment9228	19
fragment9401	19
fragment9381	19
fragment9379	19
fragment9573	19
fragment9336	19
fragment9195	19
fragment9995	19
fragment9359	19
fragment9424	19
fragment9185	19
fragment9188	19
fragment9227	19
fragment9226	19
fragment37764	19
fragment9429	19
fragment9269	19
fragment9194	19
fragment9215	19
fragment37739	19
fragment9553	19
fragment15181	19
fragment37524	19
fragment37519	19
fragment9244	19
fragment9241	19
fragment9449	19
fragment9402	19
fragment9131	19
fragment9333	19
fragment9280	19
fragment9282	19
fragment35004	19
fragment6839	19
fragment9121	19
fragment9120	19
