SequenceName	ClusterNumber
fragment37875	1
fragment37876	1
fragment37629	2
fragment37631	2
fragment37877	-1
fragment37881	-1
fragment37612	-1
fragment1925	3
fragment1928	3
fragment1927	3
fragment1930	3
fragment1944	3
fragment1923	3
fragment1922	3
fragment1938	3
fragment1936	3
fragment1939	3
fragment1941	3
fragment1940	3
fragment1924	3
fragment1937	3
fragment1931	3
fragment1933	3
fragment3633	4
fragment38075	4
fragment1594	-1
fragment1592	-1
fragment37606	-1
fragment3629	-1
fragment4346	5
fragment3046	5
fragment3047	6
fragment4344	6
fragment4341	6
fragment4338	6
fragment4337	6
fragment2997	-1
fragment11090	7
fragment4343	7
fragment4334	7
fragment4342	7
fragment27081	8
fragment2148	8
fragment2220	-1
fragment2016	9
fragment2594	9
fragment24652	9
fragment11287	-1
fragment10807	10
fragment10826	10
fragment10809	10
fragment2027	-1
fragment1490	-1
fragment1540	-1
fragment1458	-1
fragment1512	-1
fragment1483	-1
fragment1453	-1
fragment1454	-1
fragment4204	11
fragment4241	11
fragment4239	11
fragment4209	11
fragment4244	11
fragment4242	11
fragment4229	11
fragment4230	11
fragment4235	11
fragment4224	11
fragment4225	11
fragment4232	11
fragment4231	11
fragment4218	11
fragment4234	11
fragment4213	11
fragment4211	11
fragment38070	-1
fragment1509	-1
fragment1530	-1
fragment1448	-1
fragment24837	-1
fragment2785	-1
fragment25602	12
fragment25638	12
fragment26009	12
fragment24693	12
fragment25599	12
fragment25632	12
fragment25531	12
fragment25523	12
fragment25544	12
fragment25541	12
fragment25619	12
fragment25596	12
fragment25528	12
fragment25527	12
fragment25518	12
fragment25621	12
fragment25620	12
fragment25557	12
fragment25558	12
fragment25560	12
fragment25583	12
fragment1895	12
fragment26348	12
fragment25571	12
fragment10417	12
fragment25565	12
fragment25613	12
fragment4357	12
fragment25623	12
fragment25543	12
fragment25579	12
fragment25635	12
fragment24690	12
fragment25547	12
fragment25585	12
fragment5622	12
fragment25624	12
fragment9145	12
fragment25595	12
fragment26039	13
fragment25110	13
fragment25109	13
fragment24798	-1
fragment1898	-1
fragment24801	14
fragment24805	14
fragment37522	-1
fragment6444	15
fragment25686	15
fragment25785	15
fragment25676	15
fragment24787	15
fragment24721	15
fragment25009	15
fragment25718	15
fragment25706	15
fragment25792	15
fragment25799	15
fragment25849	15
fragment24782	15
fragment25692	15
fragment25696	15
fragment24808	15
fragment24675	15
fragment24732	15
fragment24738	15
fragment25061	15
fragment15914	15
fragment25680	15
fragment24957	15
fragment25727	15
fragment24741	15
fragment24988	15
fragment24984	15
fragment24724	15
fragment24736	15
fragment24791	15
fragment24792	15
fragment25006	15
fragment25710	15
fragment25848	15
fragment24962	15
fragment25768	15
fragment25700	15
fragment25008	15
fragment25007	15
fragment24735	15
fragment24956	15
fragment25819	15
fragment25681	15
fragment25688	15
fragment25687	15
fragment25981	15
fragment25057	15
fragment25053	15
fragment25695	15
fragment25699	15
fragment24757	15
fragment4449	15
fragment24753	15
fragment25652	16
fragment25001	16
fragment25804	16
fragment24734	16
fragment24797	16
fragment25456	16
fragment25459	16
fragment25989	16
fragment24855	16
fragment25852	16
fragment25879	16
fragment25800	16
fragment25725	16
fragment24824	16
fragment25802	16
fragment24972	16
fragment24990	16
fragment25762	16
fragment25075	16
fragment25824	16
fragment26047	16
fragment26051	16
fragment25752	16
fragment24862	16
fragment24807	16
fragment25090	16
fragment24970	16
fragment25837	16
fragment24685	16
fragment24682	16
fragment24995	16
fragment24994	16
fragment25750	16
fragment25850	16
fragment24975	16
fragment25651	16
fragment25805	16
fragment25782	16
fragment25673	16
fragment25740	16
fragment25794	16
fragment25100	16
fragment24796	16
fragment25759	16
fragment24971	16
fragment25786	16
fragment25859	16
fragment25860	16
fragment25741	16
fragment25714	16
fragment24936	16
fragment25997	16
fragment26357	16
fragment24958	16
fragment24950	16
fragment24951	16
fragment24731	16
fragment24966	16
fragment25758	16
fragment25760	16
fragment26365	16
fragment25851	16
fragment26004	16
fragment25833	16
fragment25742	16
fragment25982	16
fragment24838	16
fragment25991	16
fragment25973	16
fragment24959	16
fragment24955	16
fragment25840	16
fragment25843	16
fragment24790	16
fragment24720	16
fragment25661	16
fragment25734	16
fragment24722	16
fragment25671	16
fragment24841	16
fragment26001	16
fragment25990	16
fragment25950	16
fragment24844	16
fragment21534	16
fragment24828	16
fragment25012	16
fragment25452	16
fragment24622	16
fragment24619	16
fragment25032	16
fragment25050	16
fragment24777	16
fragment24961	16
fragment24848	16
fragment25951	16
fragment25020	16
fragment25013	16
fragment24620	16
fragment24621	16
fragment24623	16
fragment25038	16
fragment24710	16
fragment24968	16
fragment24973	16
fragment25772	16
fragment25821	16
fragment24774	16
fragment24779	16
fragment25738	16
fragment24825	16
fragment25019	16
fragment25021	16
fragment25014	16
fragment25015	16
fragment24793	16
fragment24649	16
fragment24615	16
fragment25028	16
fragment25469	16
fragment25660	16
fragment25490	16
fragment25665	16
fragment25607	16
fragment25737	16
fragment24818	16
fragment24907	16
fragment24898	16
fragment35285	16
fragment24931	16
fragment24902	16
fragment25025	16
fragment25036	16
fragment25041	16
fragment25046	16
fragment25773	16
fragment26045	16
fragment25662	16
fragment25825	16
fragment25815	16
fragment25749	16
fragment25753	16
fragment24845	16
fragment25946	16
fragment26025	16
fragment6751	16
fragment25494	16
fragment24888	16
fragment25047	16
fragment24770	16
fragment25774	16
fragment25777	16
fragment24849	16
fragment25082	16
fragment25888	16
fragment33619	16
fragment25895	16
fragment24897	16
fragment25045	16
fragment25039	16
fragment24795	16
fragment24789	16
fragment24842	16
fragment9567	16
fragment22874	16
fragment25980	16
fragment25912	16
fragment26345	16
fragment24886	16
fragment24840	16
fragment25894	16
fragment25955	16
fragment25969	16
fragment25902	16
fragment24896	16
fragment24937	16
fragment25920	16
fragment25472	16
fragment24910	16
fragment24860	16
fragment25890	16
fragment25918	16
fragment24921	16
fragment24851	16
fragment25482	16
fragment25934	16
fragment24903	16
fragment24846	16
fragment25957	16
fragment25915	16
fragment24904	16
fragment24843	16
fragment4458	16
fragment25500	16
fragment25916	16
fragment24905	16
fragment24872	16
fragment25979	16
fragment24909	16
fragment24870	16
fragment25930	16
fragment24918	16
fragment24876	16
fragment25928	16
fragment9414	16
fragment24866	16
fragment25968	16
fragment9318	16
fragment24869	16
fragment24873	16
fragment25899	16
fragment24889	16
fragment25910	16
fragment25904	16
fragment25063	16
fragment24900	16
fragment24890	16
fragment24887	16
fragment3167	17
fragment3166	17
fragment2532	17
fragment4201	18
fragment4185	18
fragment4183	18
fragment4181	18
fragment4196	18
fragment4182	18
fragment4180	18
fragment4251	18
fragment4238	18
fragment2781	-1
fragment2780	-1
fragment2778	-1
fragment2779	-1
fragment4190	-1
fragment4166	19
fragment4171	19
fragment4163	19
fragment4147	19
fragment4165	19
fragment4162	19
fragment3098	19
fragment4144	19
fragment4154	19
fragment4176	19
fragment3151	19
fragment3142	19
fragment3141	19
fragment4446	19
fragment38229	19
fragment4149	19
fragment3160	19
fragment3102	19
fragment3122	19
fragment3118	19
fragment3121	19
fragment3159	19
fragment3152	19
fragment3143	19
fragment3153	19
fragment3112	19
fragment3124	19
fragment3115	19
fragment3145	19
fragment3095	19
fragment3200	19
fragment3133	19
fragment3173	19
fragment3090	19
fragment3132	19
fragment3149	19
fragment3147	19
fragment3120	19
fragment3113	19
fragment9478	20
fragment3128	20
fragment2534	-1
fragment37771	21
fragment9164	21
fragment9166	21
fragment2087	-1
fragment2103	-1
fragment2189	22
fragment2076	22
fragment2074	-1
fragment9494	23
fragment2031	23
fragment1966	23
fragment9493	23
fragment10441	23
fragment37820	-1
fragment2136	-1
fragment3673	-1
fragment9463	24
fragment10142	24
fragment10148	24
fragment10149	24
fragment10050	24
fragment10192	24
fragment10193	24
fragment10272	24
fragment10121	24
fragment10051	24
fragment10848	24
fragment10878	24
fragment10243	24
fragment10053	24
fragment10052	24
fragment10846	24
fragment10844	24
fragment10836	24
fragment10199	24
fragment10257	24
fragment10256	24
fragment10276	24
fragment10130	24
fragment10127	24
fragment10855	24
fragment10333	24
fragment10293	24
fragment10351	24
fragment10134	24
fragment10796	24
fragment10828	24
fragment10158	24
fragment10218	24
fragment10345	24
fragment10398	24
fragment10332	24
fragment10303	24
fragment10279	24
fragment10281	24
fragment10265	24
fragment10263	24
fragment1625	24
fragment10388	24
fragment10311	24
fragment6710	24
fragment10175	24
fragment10190	24
fragment10187	24
fragment10343	24
fragment10151	24
fragment10152	24
fragment10301	24
fragment10297	24
fragment10095	24
fragment10072	24
fragment10122	24
fragment10135	24
fragment10366	24
fragment10300	24
fragment10268	24
fragment10114	24
fragment10087	24
fragment10083	24
fragment10096	24
fragment10100	24
fragment10829	24
fragment28815	24
fragment10235	24
fragment10234	24
fragment10163	24
fragment37818	24
fragment38152	24
fragment24665	24
fragment10284	24
fragment10285	24
fragment10086	24
fragment10116	24
fragment10118	24
fragment8975	24
fragment8976	24
fragment10076	24
fragment37543	24
fragment37947	24
fragment10287	24
fragment10165	24
fragment10387	24
fragment10334	24
fragment10108	24
fragment10090	24
fragment10354	24
fragment6379	24
fragment10386	24
fragment10412	24
fragment8978	24
fragment10207	24
fragment10068	24
fragment8981	24
fragment8979	24
fragment10237	24
fragment10067	24
fragment10254	24
fragment10314	24
fragment10065	24
fragment10031	24
fragment10341	24
fragment24695	25
fragment10804	25
fragment9332	25
fragment9175	25
fragment10649	25
fragment9160	25
fragment9191	25
fragment9277	25
fragment9293	25
fragment9291	25
fragment9285	25
fragment9278	25
fragment9176	25
fragment9171	25
fragment9404	25
fragment9388	25
fragment9413	25
fragment9352	25
fragment9994	25
fragment9464	25
fragment6627	25
fragment9375	25
fragment9372	25
fragment9345	25
fragment9368	25
fragment9380	25
fragment9382	25
fragment24699	25
fragment37765	25
fragment9536	25
fragment24700	25
fragment9313	25
fragment9261	25
fragment9433	25
fragment9487	25
fragment9427	25
fragment9369	25
fragment9393	25
fragment9418	25
fragment9417	25
fragment9229	25
fragment9228	25
fragment9401	25
fragment9381	25
fragment9379	25
fragment9573	25
fragment9336	25
fragment9195	25
fragment9995	25
fragment9359	25
fragment9424	25
fragment9185	25
fragment9188	25
fragment9227	25
fragment9226	25
fragment37764	25
fragment9429	25
fragment9269	25
fragment9194	25
fragment9215	25
fragment37739	25
fragment9553	25
fragment15181	25
fragment37524	25
fragment37519	25
fragment9244	25
fragment9241	25
fragment9449	25
fragment9402	25
fragment9131	25
fragment9333	25
fragment9280	25
fragment9282	25
fragment35004	25
fragment6839	25
fragment9121	25
fragment9120	25
fragment9399	25
fragment9334	25
fragment9428	25
fragment9214	25
fragment36618	25
fragment6756	25
fragment9400	25
fragment9266	25
fragment9205	25
fragment9217	25
fragment9192	25
fragment9273	25
fragment9245	25
fragment9257	25
fragment9222	25
fragment9308	25
fragment9275	25
fragment9221	25
fragment9204	25
fragment9935	25
fragment9457	25
fragment8989	26
fragment8982	26
fragment8984	26
fragment8987	26
fragment8986	26
fragment10329	26
fragment2533	27
fragment8974	27
fragment9299	27
fragment10442	28
fragment3081	28
fragment3671	28
fragment3258	29
fragment3222	29
fragment3220	29
fragment3076	29
fragment3074	29
fragment3224	29
fragment3104	29
fragment3314	29
fragment3226	29
fragment3227	29
fragment3078	29
fragment3079	29
fragment3347	29
fragment10465	29
fragment3286	29
fragment3246	29
fragment3288	29
fragment3253	29
fragment37921	29
fragment3244	29
fragment3268	29
fragment3284	29
fragment3248	29
fragment3184	29
fragment3241	29
fragment3331	29
fragment3178	29
fragment1580	29
fragment3308	29
fragment1919	29
fragment3291	29
fragment3236	29
fragment3647	29
fragment3186	29
fragment3238	29
fragment3360	29
fragment3261	29
fragment3310	29
fragment3255	29
fragment3257	29
fragment3274	29
fragment3271	29
fragment8934	-1
fragment10425	30
fragment9936	30
fragment10493	30
fragment2309	30
fragment10429	30
fragment5258	31
fragment3093	31
fragment10436	31
fragment8938	31
fragment10428	31
fragment10440	31
fragment3197	-1
fragment38079	-1
fragment38081	-1
fragment38082	-1
fragment38084	-1
fragment4094	32
fragment4095	32
fragment4096	32
fragment2692	32
fragment2691	32
fragment2693	32
fragment2694	32
fragment4093	32
fragment4092	32
fragment37924	-1
fragment1955	33
fragment2056	33
fragment2210	33
fragment1993	-1
fragment10897	-1
fragment11086	-1
fragment2990	-1
fragment11089	-1
fragment11088	-1
fragment10902	-1
fragment10623	-1
fragment2550	-1
fragment57	34
fragment67	34
fragment1979	-1
fragment10895	-1
fragment11087	-1
fragment11281	-1
fragment11280	-1
fragment4359	-1
fragment2715	35
fragment10785	35
fragment2720	35
fragment2722	35
fragment2725	35
fragment2713	35
fragment2248	35
fragment2723	35
fragment2716	35
fragment2717	35
fragment4305	-1
fragment1989	-1
fragment3746	36
fragment3744	36
fragment3745	36
fragment3769	36
fragment3775	36
fragment4422	36
fragment4420	36
fragment3765	36
fragment3767	36
fragment3770	36
fragment3703	36
fragment37880	-1
fragment4283	-1
fragment3756	37
fragment3757	37
fragment4301	37
fragment4297	37
fragment37857	-1
fragment2052	-1
fragment37853	-1
fragment1984	-1
fragment38100	-1
fragment2605	-1
fragment38099	-1
fragment37845	38
fragment37842	38
fragment37620	-1
fragment2606	-1
fragment1968	-1
fragment4349	-1
fragment8647	39
fragment3738	39
fragment3727	-1
fragment4423	40
fragment4411	40
fragment3777	41
fragment3779	41
fragment3734	41
fragment3730	41
fragment3731	41
fragment38200	-1
fragment38206	-1
fragment38205	-1
fragment38197	-1
fragment3839	42
fragment3907	42
fragment3908	42
fragment3915	42
fragment3913	42
fragment3918	42
fragment3912	42
fragment3982	42
fragment3980	42
fragment3921	42
fragment3787	42
fragment8666	43
fragment8637	43
fragment8841	43
fragment8641	43
fragment8846	43
fragment8788	43
fragment8787	43
fragment8591	43
fragment8615	43
fragment8843	43
fragment8620	43
fragment8578	43
fragment8645	43
fragment8646	43
fragment8659	43
fragment8661	43
fragment8836	43
fragment8849	43
fragment8650	43
fragment8580	43
fragment8597	43
fragment8874	43
fragment8854	43
fragment8792	43
fragment8588	43
fragment8587	43
fragment8663	43
fragment8640	43
fragment8649	43
fragment8669	43
fragment8632	43
fragment8594	43
fragment8623	43
fragment2300	43
fragment8628	43
fragment8865	43
fragment8644	43
fragment8582	43
fragment8581	43
fragment8634	43
fragment8572	43
fragment8852	43
fragment8862	43
fragment8612	43
fragment8648	43
fragment8658	43
fragment8592	43
fragment8584	43
fragment8850	43
fragment8864	43
fragment8601	43
fragment8861	43
fragment8866	43
fragment8877	43
fragment8664	43
fragment4587	43
fragment8860	43
fragment8610	43
fragment8606	43
fragment8781	43
fragment8574	43
fragment8577	43
fragment8608	43
fragment8617	43
fragment3741	44
fragment4413	44
fragment3742	44
fragment4414	-1
fragment1479	-1
fragment1440	-1
fragment38195	-1
fragment3834	-1
fragment4281	45
fragment4280	45
fragment3972	45
fragment3966	45
fragment3983	45
fragment3952	45
fragment3929	45
fragment3932	45
fragment3928	45
fragment3948	45
fragment3967	45
fragment3974	45
fragment3956	45
fragment3949	45
fragment3950	45
fragment3939	45
fragment3942	45
fragment3963	45
fragment3954	45
fragment3945	45
fragment3953	45
fragment3955	45
fragment3970	45
fragment3959	45
fragment4075	46
fragment3997	46
fragment3998	46
fragment4074	46
fragment4073	46
fragment4080	46
fragment4079	46
fragment4123	46
fragment4061	46
fragment4027	46
fragment8835	46
fragment8808	46
fragment4077	46
fragment4002	46
fragment8801	46
fragment8829	46
fragment4076	46
fragment4078	46
fragment4105	46
fragment8888	46
fragment4121	46
fragment4033	46
fragment4007	46
fragment8890	46
fragment4110	46
fragment4111	46
fragment4102	46
fragment4036	46
fragment3797	46
fragment3798	46
fragment3999	46
fragment4003	46
fragment3751	46
fragment8884	46
fragment8885	46
fragment8807	46
fragment8871	46
fragment8833	46
fragment8813	46
fragment8803	46
fragment4103	46
fragment4112	46
fragment4071	46
fragment8822	46
fragment8815	46
fragment8831	46
fragment8799	46
fragment8802	46
fragment4115	46
fragment4068	46
fragment4067	46
fragment4100	46
fragment4099	46
fragment4045	46
fragment4104	46
fragment4057	46
fragment4049	46
fragment4043	46
fragment4097	46
fragment4010	46
fragment3814	46
fragment8785	46
fragment8798	46
fragment8795	46
fragment8797	46
fragment4025	46
fragment4106	46
fragment4108	46
fragment3794	46
fragment3884	46
fragment4039	46
fragment4098	46
fragment4014	46
fragment4085	46
fragment3803	46
fragment3813	46
fragment4038	46
fragment4086	46
fragment3924	46
fragment3783	46
fragment3818	46
fragment3841	46
fragment4028	46
fragment4050	46
fragment4090	46
fragment3802	46
fragment3806	46
fragment3886	46
fragment3885	46
fragment3868	46
fragment3829	46
fragment3831	46
fragment3855	46
fragment3856	46
fragment3825	46
fragment4087	46
fragment4089	46
fragment3869	46
fragment3900	46
fragment3870	46
fragment2560	46
fragment3872	46
fragment3849	46
fragment3824	46
fragment3879	46
fragment3880	46
fragment3887	46
fragment3991	46
fragment3877	46
fragment3882	46
fragment3820	46
fragment3826	46
fragment3866	46
fragment3867	46
fragment3893	46
fragment3881	46
fragment3862	46
fragment3852	46
fragment3851	46
fragment3848	46
fragment10496	-1
fragment3209	47
fragment2657	47
fragment3480	47
fragment2648	47
fragment2653	47
fragment2654	47
fragment2651	47
fragment38218	-1
fragment3207	48
fragment2699	48
