SequenceName	ClusterNumber
fragment1458	-1
fragment1512	-1
fragment1483	-1
fragment1453	-1
fragment1454	-1
fragment4185	1
fragment4181	1
fragment4182	1
fragment4180	1
fragment1490	1
fragment1540	1
fragment4201	2
fragment4183	2
fragment4196	2
fragment38070	2
fragment4251	2
fragment4238	2
fragment1448	2
fragment4204	2
fragment1509	2
fragment1530	2
fragment4241	2
fragment4239	2
fragment4209	2
fragment4244	2
fragment4242	2
fragment4229	2
fragment4230	2
fragment4235	2
fragment4224	2
fragment4225	2
fragment4232	2
fragment4231	2
fragment4218	2
fragment4234	2
fragment4213	2
fragment4211	2
fragment1968	3
fragment2606	3
fragment37620	3
fragment2605	3
fragment38099	3
fragment37845	3
fragment37842	3
fragment38206	-1
fragment38200	-1
fragment38205	-1
fragment37924	4
fragment4349	4
fragment3839	4
fragment38084	4
fragment1993	4
fragment3907	4
fragment3908	4
fragment3915	4
fragment3913	4
fragment1955	4
fragment3918	4
fragment2056	4
fragment2210	4
fragment4283	4
fragment37880	4
fragment3756	4
fragment3757	4
fragment4301	4
fragment4297	4
fragment37857	4
fragment2052	4
fragment38100	4
fragment3912	4
fragment3982	4
fragment3980	4
fragment3921	4
fragment3787	4
fragment4094	4
fragment4095	4
fragment4096	4
fragment2692	4
fragment2691	4
fragment2693	4
fragment2694	4
fragment37853	4
fragment1984	4
fragment38082	4
fragment4093	4
fragment4092	4
fragment4305	4
fragment3746	4
fragment3744	4
fragment38079	4
fragment38081	4
fragment11280	4
fragment1989	4
fragment3745	4
fragment3769	4
fragment1979	4
fragment11281	4
fragment4359	4
fragment3775	4
fragment4422	4
fragment4420	4
fragment57	4
fragment67	4
fragment10902	4
fragment10623	4
fragment2550	4
fragment10895	4
fragment11087	4
fragment2715	4
fragment3765	4
fragment10785	4
fragment3767	4
fragment10897	4
fragment11086	4
fragment11088	4
fragment2720	4
fragment3770	4
fragment3703	4
fragment2990	4
fragment11089	4
fragment2722	4
fragment2725	4
fragment2713	4
fragment2248	4
fragment2723	4
fragment2716	4
fragment2717	4
fragment8666	5
fragment8637	5
fragment8841	5
fragment8641	5
fragment8846	5
fragment8788	5
fragment8787	5
fragment8591	5
fragment8615	5
fragment8843	5
fragment3727	5
fragment8620	5
fragment8578	5
fragment8645	5
fragment8646	5
fragment8659	5
fragment8661	5
fragment8836	5
fragment8849	5
fragment8647	5
fragment3738	5
fragment8650	5
fragment8580	5
fragment8597	5
fragment8874	5
fragment8854	5
fragment8792	5
fragment8588	5
fragment8587	5
fragment8663	5
fragment8640	5
fragment8649	5
fragment8669	5
fragment8632	5
fragment8594	5
fragment8623	5
fragment2300	5
fragment8628	5
fragment8865	5
fragment8644	5
fragment8582	5
fragment8581	5
fragment8634	5
fragment4423	5
fragment4411	5
fragment8572	5
fragment8852	5
fragment8862	5
fragment8612	5
fragment8648	5
fragment8658	5
fragment8592	5
