SequenceName	ClusterNumber
fragment37875	1
fragment37876	1
fragment37629	2
fragment37631	2
fragment1925	3
fragment1928	3
fragment1927	3
fragment1930	3
fragment1944	3
fragment1923	3
fragment1922	3
fragment1938	3
fragment1936	3
fragment1939	3
fragment1941	3
fragment1940	3
fragment1924	3
fragment1937	3
fragment1931	3
fragment1933	3
fragment3633	4
fragment38075	4
fragment37877	-1
fragment37881	-1
fragment37612	-1
fragment1594	-1
fragment1592	-1
fragment37606	-1
fragment3629	-1
fragment3046	-1
fragment11090	5
fragment4343	5
fragment4334	5
fragment4342	5
fragment4346	5
fragment3047	5
fragment4344	5
fragment4341	5
fragment4338	5
fragment4337	5
fragment2997	-1
fragment27081	6
fragment2148	6
fragment2220	-1
fragment37867	-1
fragment2594	7
fragment24652	7
fragment2016	-1
fragment11287	-1
fragment2027	-1
fragment9720	8
fragment9616	8
fragment9647	8
fragment9649	8
fragment9645	8
fragment9672	8
fragment9620	8
fragment9610	8
fragment9614	8
fragment9627	8
fragment9629	8
fragment9625	8
fragment9626	8
fragment9729	8
fragment9639	8
fragment9704	8
fragment9630	8
fragment9735	8
fragment9692	8
fragment9643	8
fragment9676	8
fragment9680	8
fragment9661	8
fragment64	8
fragment9727	8
fragment63	8
fragment9689	8
fragment5152	8
fragment9677	8
fragment9996	8
fragment9668	8
fragment9655	8
fragment9652	8
fragment9654	8
fragment10807	8
fragment9715	8
fragment10826	8
fragment10809	8
fragment3645	8
fragment2306	8
fragment1490	-1
fragment1540	-1
fragment1458	-1
fragment1512	-1
fragment1483	-1
fragment1453	-1
fragment1454	-1
fragment38070	-1
fragment1509	-1
fragment1530	-1
fragment1448	-1
fragment2785	-1
fragment4357	-1
fragment1898	-1
fragment37522	-1
fragment2781	-1
fragment2780	-1
fragment2778	-1
fragment2779	-1
fragment2534	-1
fragment2087	-1
fragment2103	-1
fragment2189	9
fragment2076	9
fragment2074	-1
fragment2031	10
fragment1966	10
fragment2136	-1
fragment2533	-1
fragment10425	11
fragment2309	11
fragment10429	11
fragment8934	-1
fragment8938	-1
fragment38079	-1
fragment38081	-1
fragment38082	-1
fragment38084	-1
fragment37924	-1
fragment1993	-1
fragment57	-1
fragment67	-1
fragment10897	-1
fragment11086	-1
fragment2990	-1
fragment11089	-1
fragment11088	-1
fragment10902	-1
fragment10623	-1
fragment2550	-1
fragment1979	-1
fragment10895	-1
fragment11087	-1
fragment11281	-1
fragment11280	-1
fragment2715	12
fragment10785	12
fragment2720	12
fragment2722	12
fragment2725	12
fragment2713	12
fragment2248	12
fragment2723	12
fragment2716	12
fragment2717	12
fragment4359	-1
fragment4305	-1
fragment1989	-1
fragment4283	-1
fragment37880	-1
fragment37857	-1
fragment2052	-1
fragment37853	-1
fragment1984	-1
fragment38100	-1
fragment2605	-1
fragment38099	-1
fragment2606	-1
fragment37845	13
fragment37842	13
fragment37620	-1
fragment1968	-1
fragment4349	-1
fragment38200	-1
fragment38206	-1
fragment38205	-1
fragment38197	-1
fragment4413	-1
fragment3742	-1
fragment3741	-1
fragment4414	-1
fragment1479	-1
fragment1440	-1
fragment38195	-1
fragment10496	-1
fragment38218	-1
fragment4273	14
fragment4134	14
fragment38155	-1
fragment38156	-1
fragment10470	15
fragment8686	15
fragment9594	15
fragment9593	15
fragment38145	16
fragment4348	16
fragment4307	16
fragment4329	16
fragment2816	-1
fragment2814	-1
fragment2815	-1
fragment2822	-1
fragment38158	-1
fragment1547	17
fragment1478	17
fragment1568	18
fragment1465	18
fragment1473	18
fragment1425	-1
fragment1571	-1
fragment1855	19
fragment1477	19
fragment1517	-1
fragment1574	-1
fragment1516	-1
fragment1461	-1
fragment37470	-1
fragment1859	-1
fragment2592	-1
fragment7610	-1
fragment7609	-1
fragment1886	-1
fragment1867	-1
fragment1869	-1
fragment2810	-1
fragment2599	-1
fragment37622	-1
fragment2587	-1
fragment38193	-1
fragment7497	-1
fragment38165	20
fragment38162	20
fragment2047	-1
fragment2554	21
fragment2553	21
fragment2555	-1
fragment38182	-1
fragment7491	-1
fragment7495	-1
fragment38154	-1
fragment38088	-1
fragment37607	-1
fragment2806	-1
fragment2775	-1
fragment2018	-1
fragment2017	-1
fragment2212	-1
fragment9981	22
fragment14467	22
fragment11289	22
fragment6628	22
fragment9980	22
fragment9805	22
fragment9753	22
fragment37944	22
fragment9759	22
fragment9751	22
fragment9979	22
fragment9977	22
fragment10519	22
fragment9846	22
fragment2681	22
fragment5444	22
fragment31670	22
fragment10521	22
fragment10518	22
fragment10517	22
fragment9983	22
fragment1909	22
fragment9845	22
fragment9808	22
fragment7674	22
fragment3697	22
fragment4265	22
fragment3690	22
fragment5437	22
fragment7028	22
fragment5456	22
fragment5455	22
fragment5452	22
fragment5443	22
fragment5442	22
fragment31666	22
fragment31679	22
fragment9800	22
fragment4262	22
fragment4261	22
fragment2596	22
fragment2835	22
fragment9757	22
fragment9756	22
fragment5434	22
fragment5679	22
fragment5678	22
fragment5450	22
fragment31669	22
fragment31667	22
fragment9984	22
fragment10531	22
fragment31676	22
fragment31674	22
fragment2677	22
fragment9801	22
fragment9777	22
fragment3691	22
fragment37925	22
fragment6984	22
fragment5436	22
fragment5562	22
fragment5454	22
fragment5449	22
fragment10530	22
fragment9783	22
fragment9786	22
fragment7884	22
fragment7659	22
fragment8537	22
fragment7554	22
fragment9862	22
fragment9906	22
fragment9815	22
fragment10525	22
fragment10497	22
fragment10529	22
fragment10527	22
fragment9782	22
fragment9789	22
fragment9795	22
fragment9787	22
fragment38187	22
fragment38188	22
fragment5724	22
fragment5723	22
fragment5431	22
fragment8091	22
fragment8090	22
fragment10690	22
fragment4621	22
fragment10744	22
fragment5388	22
fragment9781	22
fragment4260	22
fragment9794	22
fragment9792	22
fragment7550	22
fragment7511	22
fragment10665	22
fragment10762	22
fragment7864	22
fragment7492	22
fragment5543	22
fragment5432	22
fragment5429	22
fragment7952	22
fragment10683	22
fragment8265	22
fragment7602	22
fragment7598	22
fragment7601	22
fragment9771	22
fragment9863	22
fragment10666	22
fragment10667	22
fragment10657	22
fragment2318	22
fragment7004	22
fragment7918	22
fragment7915	22
fragment8007	22
fragment8104	22
fragment5375	22
fragment2314	22
fragment5316	22
fragment7163	22
fragment7916	22
fragment8006	22
fragment10698	22
fragment8112	22
fragment8100	22
fragment7989	22
fragment8175	22
fragment7830	22
fragment7821	22
fragment5649	22
fragment5648	22
fragment9861	22
fragment9914	22
fragment9924	22
fragment7845	22
fragment7919	22
fragment10757	22
fragment2316	22
fragment7815	22
fragment5486	22
fragment5467	22
fragment5303	22
fragment7197	22
fragment8545	22
fragment7149	22
fragment7165	22
fragment7995	22
fragment7997	22
fragment7993	22
fragment10733	22
fragment10750	22
fragment6840	22
fragment8117	22
fragment7512	22
fragment6981	22
fragment8097	22
fragment8207	22
fragment37887	22
fragment5372	22
fragment5377	22
fragment5652	22
fragment5386	22
fragment9918	22
fragment9909	22
fragment9865	22
fragment9768	22
fragment9930	22
fragment9887	22
fragment10663	22
fragment4588	22
fragment4589	22
fragment5032	22
fragment7948	22
fragment7851	22
fragment8224	22
fragment7861	22
fragment7802	22
fragment7177	22
fragment5548	22
fragment8376	22
fragment5311	22
fragment7199	22
fragment7167	22
fragment7180	22
fragment8017	22
fragment10704	22
fragment10763	22
fragment2323	22
fragment2325	22
fragment8200	22
fragment7215	22
fragment8119	22
fragment8121	22
fragment4575	22
fragment5218	22
fragment7516	22
fragment7943	22
fragment8211	22
fragment8209	22
fragment5363	22
fragment6975	22
fragment5337	22
fragment5382	22
fragment9920	22
fragment9923	22
fragment9900	22
fragment9886	22
fragment10759	22
fragment10760	22
fragment7763	22
fragment7716	22
fragment7717	22
fragment4539	22
fragment4692	22
fragment4693	22
fragment7914	22
fragment7947	22
fragment7803	22
fragment7813	22
fragment7812	22
fragment7840	22
fragment7795	22
fragment7853	22
fragment7854	22
fragment7828	22
fragment7825	22
fragment7790	22
fragment5461	22
fragment5460	22
fragment5526	22
fragment8369	22
fragment8367	22
fragment8358	22
fragment8359	22
fragment5465	22
fragment5539	22
fragment8416	22
fragment5549	22
fragment5428	22
fragment5280	22
fragment5300	22
fragment7191	22
fragment10768	22
fragment10694	22
fragment8212	22
fragment8199	22
fragment8128	22
fragment4571	22
fragment6439	22
fragment5536	22
fragment5529	22
fragment7938	22
fragment5358	22
fragment5356	22
fragment5353	22
fragment7615	22
fragment8254	22
fragment10661	22
fragment5379	22
fragment9896	22
fragment9907	22
fragment9855	22
fragment9883	22
fragment7772	22
fragment7771	22
fragment7762	22
fragment7765	22
fragment5209	22
fragment4785	22
fragment4784	22
fragment4640	22
fragment4747	22
fragment8002	22
fragment7994	22
fragment8009	22
fragment7985	22
fragment7984	22
fragment7806	22
fragment7807	22
fragment7870	22
fragment8433	22
fragment5554	22
fragment5397	22
fragment5312	22
fragment7479	22
fragment8026	22
fragment10685	22
fragment10745	22
fragment10753	22
fragment2322	22
fragment10740	22
fragment10741	22
fragment10742	22
fragment10695	22
fragment10707	22
fragment7743	22
fragment7216	22
fragment7069	22
fragment7024	22
fragment7029	22
fragment7923	22
fragment7924	22
fragment7922	22
fragment7921	22
fragment7515	22
fragment5360	22
fragment7605	22
fragment7617	22
fragment7625	22
fragment10642	22
fragment5342	22
fragment9891	22
fragment9893	22
fragment9929	22
fragment9858	22
fragment9890	22
fragment9884	22
fragment4624	22
fragment15438	22
fragment7769	22
fragment7732	22
fragment7761	22
fragment7739	22
fragment6431	22
fragment5208	22
fragment4775	22
fragment4774	22
fragment4779	22
fragment4790	22
fragment4547	22
fragment7999	22
fragment7657	22
fragment7808	22
fragment7966	22
fragment7751	22
fragment7837	22
fragment7838	22
fragment7799	22
fragment7968	22
fragment7855	22
fragment8306	22
fragment5553	22
fragment5552	22
fragment5470	22
fragment5301	22
fragment5322	22
fragment6686	22
fragment7192	22
fragment8073	22
fragment8067	22
fragment8071	22
fragment10675	22
fragment10686	22
fragment10660	22
fragment8113	22
fragment8202	22
fragment8213	22
fragment7046	22
fragment4568	22
fragment5216	22
fragment4578	22
fragment7513	22
fragment7941	22
fragment7940	22
fragment7929	22
fragment5359	22
fragment5344	22
fragment7648	22
fragment9899	22
fragment9894	22
fragment9769	22
fragment7746	22
fragment7572	22
fragment36028	22
fragment4967	22
fragment4969	22
fragment6142	22
fragment8000	22
fragment7785	22
fragment7835	22
fragment7816	22
fragment7875	22
fragment7964	22
fragment7960	22
fragment7754	22
fragment8270	22
fragment7792	22
fragment7789	22
fragment7787	22
fragment7798	22
fragment7796	22
fragment7957	22
fragment7811	22
fragment7958	22
fragment7859	22
fragment5537	22
fragment5538	22
fragment5527	22
fragment8404	22
fragment8431	22
fragment5469	22
fragment8072	22
fragment8074	22
fragment8062	22
fragment8036	22
fragment10723	22
fragment10724	22
fragment10735	22
fragment7223	22
fragment8197	22
fragment7661	22
fragment8176	22
fragment5214	22
fragment7937	22
fragment7622	22
fragment6980	22
fragment9876	22
fragment6637	22
fragment6609	22
fragment8229	22
fragment7724	22
fragment7731	22
fragment7694	22
fragment7509	22
fragment7736	22
fragment7741	22
fragment4965	22
fragment4862	22
fragment4964	22
fragment4835	22
fragment4834	22
fragment4537	22
fragment4528	22
fragment5034	22
fragment4841	22
fragment4838	22
fragment5162	22
fragment7969	22
fragment7970	22
fragment7750	22
fragment7805	22
fragment8384	22
fragment8361	22
fragment8364	22
fragment5532	22
fragment7175	22
fragment8489	22
fragment8481	22
fragment5474	22
fragment8024	22
fragment8063	22
fragment8221	22
fragment10726	22
fragment10769	22
fragment8189	22
fragment8299	22
fragment37725	22
fragment8132	22
fragment4558	22
fragment7574	22
fragment7905	22
fragment7931	22
fragment7934	22
fragment7587	22
fragment6651	22
fragment20861	22
fragment7758	22
fragment7744	22
fragment7757	22
fragment35273	22
fragment7740	22
fragment7742	22
fragment4533	22
fragment4527	22
fragment5033	22
fragment5035	22
fragment5024	22
fragment5163	22
fragment4614	22
fragment4625	22
fragment7753	22
fragment7867	22
fragment7889	22
fragment7786	22
fragment7791	22
fragment7928	22
fragment7992	22
fragment8500	22
fragment7978	22
fragment4518	22
fragment8381	22
fragment5473	22
fragment5483	22
fragment8042	22
fragment10718	22
fragment10754	22
fragment10722	22
fragment10734	22
fragment10737	22
fragment7209	22
fragment7226	22
fragment7227	22
fragment8242	22
fragment8122	22
fragment8123	22
fragment8168	22
fragment8172	22
fragment8130	22
fragment7074	22
fragment7087	22
fragment7102	22
fragment4557	22
fragment7902	22
fragment7903	22
fragment7627	22
fragment6409	22
fragment7427	22
fragment5688	22
fragment5411	22
fragment6294	22
fragment22125	22
fragment8914	22
fragment6749	22
fragment7756	22
fragment7730	22
fragment9326	22
fragment4796	22
fragment4795	22
fragment5119	22
fragment4833	22
fragment5235	22
fragment4544	22
fragment4530	22
fragment4675	22
fragment4684	22
fragment4636	22
fragment4619	22
fragment4635	22
fragment7749	22
fragment7748	22
fragment7869	22
fragment7848	22
fragment7878	22
fragment7862	22
fragment7863	22
fragment7981	22
fragment7980	22
fragment5521	22
fragment8382	22
fragment5501	22
fragment36489	22
fragment8452	22
fragment8070	22
fragment10719	22
fragment10727	22
fragment10679	22
fragment10678	22
fragment10721	22
fragment7208	22
fragment7229	22
fragment8192	22
fragment2401	22
fragment8159	22
fragment8287	22
fragment8143	22
fragment7709	22
fragment7706	22
fragment8146	22
fragment8187	22
fragment7050	22
fragment7075	22
fragment7097	22
fragment4512	22
fragment7527	22
fragment7901	22
fragment7642	22
fragment6611	22
fragment8911	22
fragment6406	22
fragment6459	22
fragment6468	22
fragment18826	22
fragment18417	22
fragment5115	22
fragment4739	22
fragment4674	22
fragment5019	22
fragment5212	22
fragment4521	22
fragment4520	22
fragment4677	22
fragment4676	22
fragment4678	22
fragment5026	22
fragment5161	22
fragment4688	22
fragment5029	22
fragment4631	22
fragment4627	22
fragment4618	22
fragment4617	22
fragment4632	22
fragment4629	22
fragment7885	22
fragment7886	22
fragment7959	22
fragment7987	22
fragment7877	22
fragment5513	22
fragment8895	22
fragment8896	22
fragment5498	22
fragment5494	22
fragment8387	22
fragment8478	22
fragment8479	22
fragment8055	22
fragment2319	22
fragment8115	22
fragment8193	22
fragment8141	22
fragment8134	22
fragment7093	22
fragment7059	22
fragment7094	22
fragment7058	22
fragment7331	22
fragment6524	22
fragment7021	22
fragment7018	22
fragment7022	22
fragment7025	22
fragment6998	22
fragment4554	22
fragment7528	22
fragment54	22
fragment7900	22
fragment7633	22
fragment7626	22
fragment6612	22
fragment6664	22
fragment7426	22
fragment6618	22
fragment6515	22
fragment5421	22
fragment7775	22
fragment6271	22
fragment6916	22
fragment6835	22
fragment5117	22
fragment5111	22
fragment4737	22
fragment10627	22
fragment4541	22
fragment4679	22
fragment7880	22
fragment7879	22
fragment5575	22
fragment8474	22
fragment8085	22
fragment2321	22
fragment2320	22
fragment8239	22
fragment8179	22
fragment8108	22
fragment7212	22
fragment10653	22
fragment38236	22
fragment38238	22
fragment7529	22
fragment6604	22
fragment6646	22
fragment6388	22
fragment6456	22
fragment6508	22
fragment6457	22
fragment6461	22
fragment6701	22
fragment6617	22
fragment8517	22
fragment5206	22
fragment4856	22
fragment5131	22
fragment5134	22
fragment5135	22
fragment5132	22
fragment4645	22
fragment5021	22
fragment4524	22
fragment4519	22
fragment4681	22
fragment4683	22
fragment5518	22
fragment8333	22
fragment8399	22
fragment8057	22
fragment8188	22
fragment8165	22
fragment7111	22
fragment7090	22
fragment7083	22
fragment5911	22
fragment7213	22
fragment7467	22
fragment7533	22
fragment6602	22
fragment6418	22
fragment36483	22
fragment6455	22
fragment6703	22
fragment7277	22
fragment6541	22
fragment6485	22
fragment6489	22
fragment5031	22
fragment4983	22
fragment5222	22
fragment4671	22
fragment5506	22
fragment8284	22
fragment7096	22
fragment7088	22
fragment7534	22
fragment6603	22
fragment6601	22
fragment37678	22
fragment6410	22
fragment6648	22
fragment5702	22
fragment6319	22
fragment6345	22
fragment5968	22
fragment8528	22
fragment6702	22
fragment5410	22
fragment5408	22
fragment6490	22
fragment6770	22
fragment6802	22
fragment8530	22
fragment4646	22
fragment5056	22
fragment4863	22
fragment5012	22
fragment4874	22
fragment4672	22
fragment5148	22
fragment4987	22
fragment4975	22
fragment5569	22
fragment7592	22
fragment7039	22
fragment7124	22
fragment6644	22
fragment8526	22
fragment8522	22
fragment6401	22
fragment37668	22
fragment6506	22
fragment8515	22
fragment37690	22
fragment7260	22
fragment6054	22
fragment8908	22
fragment7264	22
fragment37677	22
fragment20883	22
fragment6116	22
fragment37692	22
fragment6824	22
fragment6066	22
fragment6786	22
fragment5198	22
fragment5059	22
fragment4827	22
fragment4962	22
fragment4961	22
fragment4830	22
fragment4828	22
fragment5011	22
fragment4883	22
fragment5192	22
fragment4908	22
fragment4982	22
fragment4984	22
fragment5400	22
fragment8271	22
fragment6958	22
fragment6995	22
fragment5593	22
fragment7894	22
fragment5957	22
fragment6614	22
fragment6642	22
fragment7266	22
fragment6640	22
fragment6405	22
fragment6108	22
fragment7256	22
fragment606	22
fragment6101	22
fragment4894	22
fragment6606	22
fragment6276	22
fragment6350	22
fragment6504	22
fragment8531	22
fragment6875	22
fragment6437	22
fragment6493	22
fragment6516	22
fragment5413	22
fragment6788	22
fragment6782	22
