SequenceName	ClusterNumber
fragment4201	1
fragment4185	1
fragment4183	1
fragment4181	1
fragment1454	1
fragment4196	1
fragment4182	1
fragment4180	1
fragment1453	1
fragment38070	1
fragment4251	1
fragment4238	1
fragment1448	1
fragment1483	1
fragment4204	1
fragment1509	1
fragment1530	1
fragment1512	1
fragment1458	1
fragment4241	1
fragment4239	1
fragment4209	1
fragment1490	1
fragment1540	1
fragment4244	1
fragment4242	1
fragment4229	1
fragment4230	1
fragment4235	1
fragment4224	1
fragment4225	1
fragment4232	1
fragment4231	1
fragment4218	1
fragment4234	1
fragment4213	1
fragment4211	1
fragment9495	2
fragment3197	2
fragment3174	2
fragment10438	2
fragment9492	2
fragment5258	2
fragment10450	2
fragment10443	2
fragment9514	2
fragment10444	2
fragment10442	2
fragment9410	2
fragment10439	2
fragment9512	2
fragment9238	2
fragment3093	2
fragment10436	2
fragment8938	2
fragment2534	2
fragment3081	2
fragment3258	2
fragment3222	2
fragment3220	2
fragment3076	2
fragment3074	2
fragment9576	2
fragment8934	2
fragment10428	2
fragment10440	2
fragment37820	2
fragment3671	2
fragment3224	2
fragment3104	2
fragment3055	2
fragment37771	2
fragment2136	2
fragment3673	2
fragment2533	2
fragment3314	2
fragment3226	2
fragment3227	2
fragment3078	2
fragment3079	2
fragment3193	2
fragment3190	2
fragment10425	2
fragment9936	2
fragment10493	2
fragment9164	2
fragment9166	2
fragment9478	2
fragment3128	2
fragment9494	2
fragment8989	2
fragment8974	2
fragment9299	2
fragment3347	2
fragment10465	2
fragment3286	2
fragment3246	2
fragment2309	2
fragment10429	2
fragment4166	2
fragment2074	2
fragment2031	2
fragment1966	2
fragment9493	2
fragment10441	2
fragment9463	2
fragment8982	2
fragment3288	2
fragment3253	2
fragment4171	2
fragment4163	2
fragment4147	2
fragment10142	2
fragment24695	2
fragment8984	2
fragment37921	2
fragment2778	2
fragment4165	2
fragment2087	2
fragment2103	2
fragment2189	2
fragment2076	2
fragment10804	2
fragment8987	2
fragment3244	2
fragment3268	2
fragment2781	2
fragment2780	2
fragment2779	2
fragment4190	2
fragment4162	2
fragment3098	2
fragment4144	2
fragment9332	2
fragment9175	2
fragment10649	2
fragment9160	2
fragment8986	2
fragment10329	2
fragment3284	2
fragment3248	2
fragment3184	2
fragment3241	2
fragment10148	2
fragment10149	2
fragment9191	2
fragment9277	2
fragment9293	2
fragment9291	2
fragment9285	2
fragment9278	2
fragment9176	2
fragment9171	2
fragment9404	2
fragment9388	2
fragment3331	2
fragment3178	2
fragment1580	2
fragment3308	2
fragment4154	2
fragment10050	2
fragment10192	2
fragment10193	2
fragment10272	2
fragment10121	2
fragment1919	2
fragment3291	2
fragment3236	2
fragment3647	2
fragment3186	2
fragment3238	2
fragment4176	2
fragment3151	2
fragment3142	2
fragment3141	2
fragment10051	2
fragment10848	2
fragment10878	2
fragment10243	2
fragment9413	2
fragment9352	2
fragment9994	2
fragment9464	2
fragment6627	2
fragment3360	2
fragment3261	2
fragment4446	2
fragment10053	2
fragment10052	2
fragment10846	2
fragment10844	2
fragment10836	2
fragment10199	2
fragment10257	2
fragment10256	2
fragment10276	2
fragment10130	2
fragment10127	2
