SequenceName	ClusterNumber
fragment37629	1
fragment37631	1
fragment37877	-1
fragment37881	-1
fragment3633	2
fragment38075	2
fragment37612	2
fragment1592	-1
fragment1594	-1
fragment11090	3
fragment4343	3
fragment4334	3
fragment4342	3
fragment4346	3
fragment3046	3
fragment3047	3
fragment4344	3
fragment4341	3
fragment4338	3
fragment4337	3
fragment2220	-1
fragment27081	4
fragment2148	4
fragment64	5
fragment9727	5
fragment2027	5
fragment10807	5
fragment10826	5
fragment10809	5
fragment1490	-1
fragment1458	-1
fragment1512	-1
fragment1483	-1
fragment1453	-1
fragment1454	-1
fragment1540	-1
fragment38070	-1
fragment1509	-1
fragment1448	-1
fragment1530	-1
fragment2785	-1
fragment1898	-1
fragment37522	-1
fragment26039	6
fragment25602	6
fragment25638	6
fragment25110	6
fragment25109	6
fragment26009	6
fragment24693	6
fragment25599	6
fragment25632	6
fragment25531	6
fragment25523	6
fragment25544	6
fragment25541	6
fragment25619	6
fragment25596	6
fragment25528	6
fragment25527	6
fragment25518	6
fragment25621	6
fragment25620	6
fragment25557	6
fragment25558	6
fragment25560	6
fragment25583	6
fragment1895	6
fragment26348	6
fragment25571	6
fragment10417	6
fragment25565	6
fragment25613	6
fragment4357	6
fragment25623	6
fragment25543	6
fragment25579	6
fragment25635	6
fragment24690	6
fragment25547	6
fragment25585	6
fragment5622	6
fragment25624	6
fragment9145	6
fragment25595	6
fragment3167	7
fragment3166	7
fragment2532	7
fragment2780	-1
fragment2778	-1
fragment2781	-1
fragment2779	-1
fragment2534	-1
fragment2103	-1
fragment2189	8
fragment2076	8
fragment2074	-1
fragment2031	9
fragment1966	9
fragment3671	10
fragment2136	10
fragment3673	10
fragment37820	11
fragment9494	11
fragment9493	11
fragment10441	11
fragment2087	11
fragment2533	12
fragment8974	12
fragment9299	12
fragment10442	13
fragment3081	13
fragment8989	13
fragment9463	13
fragment8982	13
fragment10142	13
fragment24695	13
fragment8984	13
fragment10804	13
fragment8987	13
fragment9332	13
fragment9175	13
fragment10649	13
fragment9160	13
fragment8986	13
fragment10329	13
fragment10148	13
fragment10149	13
fragment9191	13
fragment9277	13
fragment9293	13
fragment9291	13
fragment9285	13
fragment9278	13
fragment9176	13
fragment9171	13
fragment9404	13
fragment9388	13
fragment10050	13
fragment10192	13
fragment10193	13
fragment10272	13
fragment10121	13
fragment10051	13
fragment10848	13
fragment10878	13
fragment10243	13
fragment9413	13
fragment9352	13
fragment9994	13
fragment9464	13
fragment6627	13
fragment10053	13
fragment10052	13
fragment10846	13
fragment10844	13
fragment10836	13
fragment10199	13
fragment10257	13
fragment10256	13
fragment10276	13
fragment10130	13
fragment10127	13
fragment9375	13
fragment9372	13
fragment10855	13
fragment10333	13
fragment10293	13
fragment10351	13
fragment10134	13
fragment9345	13
fragment9368	13
fragment9380	13
fragment10796	13
fragment10828	13
fragment10158	13
fragment10218	13
fragment10345	13
fragment10398	13
fragment10332	13
fragment10303	13
fragment10279	13
fragment10281	13
fragment10265	13
fragment10263	13
fragment1625	13
fragment10388	13
fragment10311	13
fragment9382	13
fragment24699	13
fragment37765	13
fragment6710	13
fragment10175	13
fragment10190	13
fragment10187	13
fragment10343	13
fragment10151	13
fragment10152	13
fragment10301	13
fragment10297	13
fragment10095	13
fragment10072	13
fragment10122	13
fragment10135	13
fragment9536	13
fragment24700	13
fragment9313	13
fragment9261	13
fragment9433	13
fragment9487	13
fragment10366	13
fragment10300	13
fragment10268	13
fragment10114	13
fragment10087	13
fragment10083	13
fragment10096	13
fragment10100	13
fragment10829	13
fragment9427	13
fragment9369	13
fragment9393	13
fragment9418	13
fragment9417	13
fragment9229	13
fragment9228	13
fragment9401	13
fragment9381	13
fragment9379	13
fragment28815	13
fragment10235	13
fragment10234	13
fragment10163	13
fragment37818	13
fragment38152	13
fragment24665	13
fragment10284	13
fragment10285	13
fragment10086	13
fragment10116	13
fragment10118	13
fragment9573	13
fragment9336	13
fragment9195	13
fragment9995	13
fragment9359	13
fragment9424	13
fragment8975	13
fragment8976	13
fragment10076	13
fragment37543	13
fragment37947	13
fragment10287	13
fragment10165	13
fragment10387	13
fragment9185	13
fragment9188	13
fragment9227	13
fragment9226	13
fragment37764	13
fragment9429	13
fragment10334	13
fragment10108	13
fragment10090	13
fragment10354	13
fragment9269	13
fragment9194	13
fragment9215	13
fragment37739	13
fragment9553	13
fragment15181	13
fragment6379	13
fragment10386	13
fragment10412	13
fragment8978	13
fragment10207	13
fragment37524	13
fragment37519	13
fragment9244	13
fragment9241	13
fragment9449	13
fragment9402	13
fragment9131	13
fragment10068	13
fragment8981	13
fragment8979	13
fragment10237	13
fragment9333	13
fragment9280	13
fragment9282	13
fragment35004	13
fragment6839	13
fragment10067	13
fragment10254	13
fragment10314	13
fragment9121	13
fragment9120	13
fragment9399	13
fragment9334	13
fragment9428	13
fragment9214	13
fragment36618	13
fragment6756	13
fragment10065	13
fragment9400	13
fragment9266	13
fragment10031	13
fragment10341	13
fragment9205	13
fragment9217	13
fragment9192	13
fragment9273	13
fragment9245	13
fragment9257	13
fragment9222	13
fragment9308	13
fragment9275	13
fragment9221	13
fragment9204	13
fragment9935	13
fragment9457	13
fragment37771	14
fragment9164	14
fragment9166	14
fragment9478	14
fragment3128	14
fragment4166	14
fragment4171	14
fragment4163	14
fragment4147	14
fragment4165	14
fragment4190	14
fragment4162	14
fragment3098	14
fragment4144	14
fragment4154	14
fragment4176	14
fragment3151	14
fragment3142	14
fragment3141	14
fragment4446	14
fragment38229	14
fragment4149	14
fragment3160	14
fragment3102	14
fragment3122	14
fragment3118	14
fragment3121	14
fragment3159	14
fragment3152	14
fragment3143	14
fragment3153	14
fragment3112	14
fragment3124	14
fragment3115	14
fragment3145	14
fragment3095	14
fragment3200	14
fragment3133	14
fragment3173	14
fragment3090	14
fragment3132	14
fragment3149	14
fragment3147	14
fragment3120	14
