SequenceName	ClusterNumber
fragment37875	-1
fragment37876	-1
fragment37629	-1
fragment37631	-1
fragment1925	1
fragment1928	1
fragment1927	1
fragment1930	1
fragment1944	1
fragment1923	1
fragment1922	1
fragment1938	1
fragment1936	1
fragment1939	1
fragment1941	1
fragment1940	1
fragment1924	1
fragment1937	1
fragment1931	1
fragment1933	1
fragment3633	-1
fragment38075	-1
fragment37877	-1
fragment37881	-1
fragment37612	-1
fragment1594	-1
fragment1592	-1
fragment37606	-1
fragment3629	-1
fragment4334	-1
fragment4342	-1
fragment4346	-1
fragment3046	-1
fragment4341	2
fragment4338	2
fragment4337	2
fragment4344	-1
fragment3047	-1
fragment4343	-1
fragment11090	-1
fragment2997	-1
fragment27081	-1
fragment2148	-1
fragment2220	-1
fragment37867	-1
fragment2594	3
fragment24652	3
fragment2016	-1
fragment11287	-1
fragment2027	-1
fragment9720	4
fragment9647	4
fragment9649	4
fragment9645	4
fragment9672	4
fragment9729	4
fragment9639	4
fragment9704	4
fragment9692	4
fragment9643	4
fragment9676	4
fragment9680	4
fragment9661	4
fragment64	4
fragment9727	4
fragment63	4
fragment9689	4
fragment5152	4
fragment9677	4
fragment9996	4
fragment9668	4
fragment9655	4
fragment9652	4
fragment9654	4
fragment10807	4
fragment9715	4
fragment10826	4
fragment10809	4
fragment3645	4
fragment2306	4
fragment9620	5
fragment9610	5
fragment9614	5
fragment9627	5
fragment9629	5
fragment9625	5
fragment9626	5
fragment9630	5
fragment9735	5
fragment9616	-1
fragment2532	-1
fragment1490	-1
fragment1540	-1
fragment1458	-1
fragment1512	-1
fragment1483	-1
fragment1453	-1
fragment1454	-1
fragment38070	-1
fragment1509	-1
fragment1530	-1
fragment1448	-1
fragment2785	-1
fragment6444	-1
fragment24797	-1
fragment4357	-1
fragment1898	-1
fragment37522	-1
fragment9164	6
fragment9166	6
fragment2781	-1
fragment2780	-1
fragment2778	-1
fragment2779	-1
fragment38229	-1
fragment3128	-1
fragment2534	-1
fragment2087	-1
fragment2103	-1
fragment2189	7
fragment2076	7
fragment2074	-1
fragment2031	8
fragment1966	8
fragment2136	-1
fragment38152	-1
fragment8974	9
fragment9299	9
fragment2533	-1
fragment1580	-1
fragment9576	10
fragment3055	10
fragment3193	10
fragment3190	10
fragment9410	-1
fragment10443	-1
fragment2309	-1
fragment10429	-1
fragment10425	-1
fragment9936	11
fragment10493	11
fragment8934	-1
fragment9238	-1
fragment10428	-1
fragment10440	-1
fragment3093	-1
fragment10436	-1
fragment8938	-1
fragment5258	-1
fragment3197	-1
fragment10450	12
fragment9514	12
fragment10444	12
fragment3174	-1
fragment9495	13
fragment3167	13
fragment3166	13
fragment4201	13
fragment10438	13
fragment9492	13
fragment4185	13
fragment4183	13
fragment25652	13
fragment4181	13
fragment4196	13
fragment25686	13
fragment25001	13
fragment25804	13
fragment24734	13
fragment10442	13
fragment10439	13
fragment9512	13
fragment4182	13
fragment4180	13
fragment4251	13
fragment4238	13
fragment25785	13
fragment25676	13
fragment24787	13
fragment25456	13
fragment25459	13
fragment25989	13
fragment24855	13
fragment26039	13
fragment25852	13
fragment3081	13
fragment3258	13
fragment3222	13
fragment3220	13
fragment3076	13
fragment3074	13
fragment4204	13
fragment24721	13
fragment25009	13
fragment25718	13
fragment25706	13
fragment25792	13
fragment25799	13
fragment25849	13
fragment24782	13
fragment25692	13
fragment24837	13
fragment25696	13
fragment24808	13
fragment24675	13
fragment24732	13
fragment25879	13
fragment25800	13
fragment25725	13
fragment24824	13
fragment25602	13
fragment25638	13
fragment25110	13
fragment25109	13
fragment25802	13
fragment24972	13
fragment24990	13
fragment25762	13
fragment25075	13
fragment25824	13
fragment37820	13
fragment3671	13
fragment3224	13
fragment3104	13
fragment24738	13
fragment25061	13
fragment15914	13
fragment25680	13
fragment24957	13
fragment25727	13
fragment26047	13
fragment26051	13
fragment25752	13
fragment24862	13
fragment26009	13
fragment24807	13
fragment25090	13
fragment24970	13
fragment25837	13
fragment24685	13
fragment24682	13
fragment24995	13
fragment24994	13
fragment37771	13
fragment3673	13
fragment3314	13
fragment3226	13
fragment3227	13
fragment3078	13
fragment3079	13
fragment4241	13
fragment4239	13
fragment4209	13
fragment24741	13
fragment24988	13
fragment24984	13
fragment24724	13
fragment24736	13
fragment24791	13
fragment24792	13
fragment25006	13
fragment25710	13
fragment25848	13
fragment24962	13
fragment25750	13
fragment25850	13
fragment24975	13
fragment25651	13
fragment25805	13
fragment25782	13
fragment25673	13
fragment25740	13
fragment25794	13
fragment25100	13
fragment24693	13
fragment25599	13
fragment25632	13
fragment24798	13
fragment24796	13
fragment25759	13
fragment9478	13
fragment9494	13
fragment8989	13
fragment3347	13
fragment10465	13
fragment3286	13
fragment3246	13
fragment25768	13
fragment25700	13
fragment25008	13
fragment25007	13
fragment24735	13
fragment24956	13
fragment24971	13
fragment25786	13
fragment25859	13
fragment25860	13
fragment25741	13
fragment25714	13
fragment24936	13
fragment25531	13
fragment25523	13
fragment25544	13
fragment25541	13
fragment25997	13
fragment26357	13
fragment24958	13
fragment24950	13
fragment24951	13
fragment24801	13
fragment24805	13
fragment24731	13
fragment24966	13
fragment25758	13
fragment25760	13
fragment4166	13
fragment9493	13
fragment10441	13
fragment9463	13
fragment8982	13
fragment3288	13
fragment3253	13
fragment4244	13
fragment4242	13
fragment25819	13
fragment25681	13
fragment25688	13
fragment25687	13
fragment25981	13
fragment25057	13
fragment26365	13
fragment25851	13
fragment26004	13
fragment25833	13
fragment25742	13
fragment25982	13
fragment24838	13
fragment25991	13
fragment25973	13
fragment24959	13
fragment24955	13
fragment25840	13
fragment25843	13
fragment24790	13
fragment24720	13
fragment25661	13
fragment4171	13
fragment4163	13
fragment4147	13
fragment10142	13
fragment24695	13
fragment8984	13
fragment37921	13
fragment4229	13
fragment25053	13
fragment25695	13
fragment25699	13
fragment25734	13
fragment24722	13
fragment25671	13
fragment24841	13
fragment25619	13
fragment25596	13
fragment26001	13
fragment25990	13
fragment25950	13
fragment24844	13
fragment21534	13
fragment24828	13
fragment25012	13
fragment25452	13
fragment24622	13
fragment24619	13
fragment25032	13
fragment25050	13
fragment24777	13
fragment4165	13
fragment10804	13
fragment8987	13
fragment3244	13
fragment3268	13
fragment4230	13
fragment4235	13
fragment4224	13
fragment4225	13
fragment24757	13
fragment24961	13
fragment24848	13
fragment25528	13
fragment25527	13
fragment25518	13
fragment25621	13
fragment25620	13
fragment25557	13
fragment25558	13
fragment25560	13
fragment25583	13
fragment25951	13
fragment25020	13
fragment25013	13
fragment24620	13
fragment24621	13
fragment24623	13
fragment25038	13
fragment24710	13
fragment24968	13
fragment24973	13
fragment25772	13
fragment25821	13
fragment24774	13
fragment24779	13
fragment4190	13
fragment4162	13
fragment3098	13
fragment4144	13
fragment9332	13
fragment9175	13
fragment10649	13
fragment9160	13
fragment8986	13
fragment10329	13
fragment3284	13
fragment3248	13
fragment3184	13
fragment3241	13
fragment4232	13
fragment4231	13
fragment4218	13
fragment4449	13
fragment24753	13
fragment25738	13
fragment24825	13
fragment1895	13
fragment26348	13
fragment25571	13
fragment25019	13
fragment25021	13
fragment25014	13
fragment25015	13
fragment24793	13
fragment24649	13
fragment24615	13
fragment25028	13
fragment25469	13
fragment25660	13
fragment25490	13
fragment25665	13
fragment25607	13
fragment10148	13
fragment10149	13
fragment9191	13
fragment9277	13
fragment9293	13
fragment9291	13
fragment9285	13
fragment9278	13
fragment9176	13
fragment9171	13
fragment9404	13
fragment9388	13
fragment3331	13
fragment3178	13
fragment3308	13
fragment4234	13
fragment25737	13
fragment24818	13
fragment10417	13
fragment25565	13
fragment24907	13
fragment24898	13
fragment35285	13
fragment24931	13
fragment24902	13
fragment25025	13
fragment25036	13
fragment25041	13
fragment25046	13
fragment25773	13
fragment26045	13
fragment25662	13
fragment25825	13
fragment25815	13
fragment4154	13
fragment10050	13
fragment10192	13
fragment10193	13
fragment10272	13
fragment10121	13
fragment1919	13
fragment3291	13
fragment3236	13
fragment3647	13
fragment3186	13
fragment3238	13
fragment4213	13
fragment4211	13
fragment25749	13
fragment25753	13
fragment24845	13
fragment25613	13
fragment25623	13
fragment25543	13
fragment25579	13
fragment25946	13
fragment26025	13
fragment6751	13
fragment25494	13
fragment24888	13
fragment25047	13
fragment24770	13
fragment25774	13
fragment25777	13
fragment4176	13
fragment3151	13
fragment3142	13
fragment3141	13
fragment10051	13
fragment10848	13
fragment10878	13
fragment10243	13
fragment9413	13
fragment9352	13
fragment9994	13
fragment9464	13
fragment6627	13
fragment3360	13
fragment3261	13
fragment24849	13
fragment25635	13
fragment24690	13
fragment25547	13
fragment25585	13
fragment25082	13
fragment25888	13
fragment33619	13
fragment25895	13
fragment24897	13
fragment25045	13
fragment25039	13
fragment24795	13
fragment24789	13
fragment4446	13
fragment10053	13
fragment10052	13
fragment10846	13
fragment10844	13
fragment10836	13
fragment10199	13
fragment10257	13
fragment10256	13
fragment10276	13
fragment10130	13
fragment10127	13
fragment9375	13
fragment9372	13
fragment3310	13
fragment3255	13
fragment3257	13
fragment24842	13
fragment5622	13
fragment25624	13
fragment9145	13
fragment25595	13
fragment9567	13
fragment22874	13
fragment25980	13
fragment25912	13
fragment26345	13
fragment24886	13
fragment4149	13
fragment3160	13
fragment3102	13
fragment10855	13
fragment10333	13
fragment10293	13
fragment10351	13
fragment10134	13
fragment9345	13
fragment9368	13
fragment9380	13
fragment3274	13
fragment3271	13
fragment24840	13
fragment25894	13
fragment25955	13
fragment25969	13
fragment25902	13
fragment24896	13
fragment3122	13
fragment3118	13
fragment10796	13
fragment10828	13
fragment10158	13
fragment10218	13
fragment10345	13
fragment10398	13
fragment10332	13
fragment10303	13
fragment10279	13
fragment10281	13
fragment10265	13
fragment10263	13
fragment1625	13
fragment10388	13
fragment10311	13
fragment9382	13
fragment24699	13
fragment37765	13
fragment24937	13
fragment25920	13
fragment25472	13
fragment24910	13
fragment3121	13
fragment6710	13
fragment10175	13
fragment10190	13
fragment10187	13
fragment10343	13
fragment10151	13
fragment10152	13
fragment10301	13
fragment10297	13
fragment10095	13
fragment10072	13
fragment10122	13
fragment10135	13
fragment9536	13
fragment24700	13
fragment9313	13
fragment9261	13
fragment9433	13
fragment9487	13
fragment24860	13
fragment25890	13
fragment25918	13
fragment24921	13
fragment3159	13
fragment3152	13
fragment3143	13
fragment10366	13
fragment10300	13
fragment10268	13
fragment10114	13
fragment10087	13
fragment10083	13
fragment10096	13
fragment10100	13
fragment10829	13
fragment9427	13
fragment9369	13
fragment9393	13
fragment9418	13
fragment9417	13
fragment9229	13
fragment9228	13
fragment9401	13
fragment9381	13
fragment9379	13
fragment24851	13
fragment25482	13
fragment25934	13
fragment24903	13
fragment3153	13
fragment3112	13
fragment3124	13
fragment3115	13
fragment28815	13
fragment10235	13
fragment10234	13
fragment10163	13
fragment37818	13
fragment24665	13
fragment10284	13
fragment10285	13
fragment10086	13
fragment10116	13
fragment10118	13
fragment9573	13
fragment9336	13
fragment9195	13
fragment9995	13
fragment9359	13
fragment9424	13
fragment24846	13
fragment25957	13
fragment25915	13
fragment24904	13
fragment3145	13
fragment8975	13
fragment8976	13
fragment10076	13
fragment37543	13
fragment37947	13
fragment10287	13
fragment10165	13
fragment10387	13
fragment9185	13
fragment9188	13
fragment9227	13
fragment9226	13
fragment37764	13
fragment9429	13
fragment24843	13
fragment4458	13
fragment25500	13
fragment25916	13
fragment24905	13
fragment3095	13
fragment3200	13
fragment3133	13
fragment3173	13
fragment10334	13
fragment10108	13
fragment10090	13
fragment10354	13
fragment9269	13
fragment9194	13
fragment9215	13
fragment37739	13
fragment9553	13
fragment15181	13
fragment24872	13
fragment25979	13
fragment24909	13
fragment3090	13
fragment3132	13
fragment3149	13
fragment6379	13
fragment10386	13
fragment10412	13
fragment8978	13
fragment10207	13
fragment37524	13
fragment37519	13
fragment9244	13
fragment9241	13
fragment9449	13
fragment9402	13
fragment9131	13
fragment24870	13
fragment25930	13
fragment24918	13
fragment3147	13
fragment10068	13
fragment8981	13
fragment8979	13
fragment10237	13
fragment9333	13
fragment9280	13
fragment9282	13
fragment35004	13
fragment6839	13
fragment24876	13
fragment25928	13
fragment9414	13
fragment3120	13
fragment3113	13
fragment10067	13
fragment10254	13
fragment10314	13
fragment9121	13
fragment9120	13
fragment9399	13
fragment9334	13
fragment9428	13
fragment9214	13
fragment36618	13
fragment6756	13
fragment24866	13
fragment25968	13
fragment9318	13
fragment10065	13
fragment9400	13
fragment9266	13
fragment24869	13
fragment24873	13
fragment25899	13
fragment24889	13
fragment10031	13
fragment10341	13
fragment9205	13
fragment9217	13
fragment9192	13
fragment25910	13
fragment25904	13
fragment25063	13
fragment24900	13
fragment9273	13
fragment9245	13
fragment9257	13
fragment24890	13
fragment24887	13
fragment9222	13
fragment9308	13
fragment9275	13
fragment9221	13
fragment9204	13
fragment9935	13
fragment9457	13
fragment38079	-1
fragment38081	-1
fragment38082	-1
fragment3839	14
fragment3907	14
fragment3908	14
fragment3915	14
fragment3913	14
fragment3918	14
fragment3912	14
fragment3982	14
fragment3980	14
fragment3921	14
fragment3787	14
fragment38084	-1
fragment37924	-1
fragment1955	15
fragment2056	15
fragment2210	15
fragment1993	-1
fragment57	-1
fragment67	-1
fragment10897	-1
fragment11086	-1
fragment2990	-1
fragment11089	-1
fragment11088	-1
fragment10902	-1
fragment10623	-1
fragment2550	-1
fragment1979	-1
fragment10895	-1
fragment11087	-1
fragment11281	-1
fragment11280	-1
fragment2715	16
fragment10785	16
fragment2720	16
fragment2722	16
fragment2725	16
fragment2713	16
fragment2248	16
fragment2723	16
fragment2716	16
fragment2717	16
fragment4359	-1
fragment1989	-1
fragment4305	-1
fragment4283	-1
fragment3746	17
fragment3744	17
fragment3745	17
fragment3769	17
fragment3775	17
fragment4422	17
fragment4420	17
fragment3765	17
fragment3767	17
fragment3770	17
fragment3703	17
fragment37880	-1
fragment3756	18
fragment3757	18
fragment4301	19
fragment4297	19
fragment37857	-1
fragment2052	-1
fragment37853	-1
fragment1984	-1
fragment38100	-1
fragment2605	-1
fragment38099	-1
fragment2606	-1
fragment37845	20
fragment37842	20
fragment37620	-1
fragment1968	-1
fragment4349	-1
fragment3738	-1
fragment3727	-1
fragment4423	-1
fragment4411	-1
fragment3777	-1
fragment3779	-1
fragment3730	-1
fragment3731	-1
fragment3734	-1
fragment38200	-1
fragment38206	-1
fragment38205	-1
fragment38197	-1
fragment8666	21
fragment8637	21
fragment8841	21
fragment8641	21
fragment8846	21
fragment8788	21
fragment8787	21
fragment8591	21
fragment8615	21
fragment8843	21
fragment8620	21
fragment8578	21
fragment8645	21
fragment8646	21
fragment8659	21
fragment8661	21
fragment8836	21
fragment8849	21
fragment8647	21
fragment8650	21
fragment8580	21
fragment8597	21
fragment8874	21
fragment8854	21
fragment8792	21
fragment8588	21
fragment8587	21
fragment8663	21
fragment8640	21
fragment8649	21
fragment8669	21
fragment8632	21
fragment8594	21
fragment8623	21
fragment2300	21
fragment8628	21
fragment8865	21
fragment8644	21
fragment8582	21
fragment8581	21
fragment8634	21
fragment8572	21
fragment8852	21
fragment8862	21
fragment8612	21
fragment8648	21
fragment8658	21
fragment8592	21
fragment8584	21
fragment8850	21
fragment8864	21
fragment8601	21
fragment8861	21
fragment8866	21
fragment8877	21
fragment8664	21
fragment4587	21
fragment8860	21
fragment8610	21
fragment8606	21
fragment8781	21
fragment8574	21
fragment8577	21
fragment8608	21
fragment8617	21
fragment4413	-1
fragment3742	-1
fragment3741	-1
fragment4414	-1
fragment4280	-1
fragment4281	-1
fragment1479	-1
fragment1440	-1
fragment38195	-1
fragment4075	22
fragment3972	22
fragment3997	22
fragment3998	22
fragment4074	22
fragment4073	22
fragment4080	22
fragment4079	22
fragment4123	22
fragment4061	22
fragment4027	22
fragment8835	22
fragment8808	22
fragment4077	22
fragment3966	22
fragment4002	22
fragment8801	22
fragment8829	22
fragment4076	22
fragment4078	22
fragment4094	22
fragment4095	22
fragment4096	22
fragment2692	22
fragment2691	22
fragment2693	22
fragment2694	22
fragment3983	22
fragment3952	22
fragment4105	22
fragment8888	22
fragment4093	22
fragment4092	22
fragment3929	22
fragment3932	22
fragment3928	22
fragment3948	22
fragment4121	22
fragment4033	22
fragment4007	22
fragment8890	22
fragment3967	22
fragment3974	22
fragment3956	22
fragment3949	22
fragment3950	22
fragment4110	22
fragment4111	22
fragment4102	22
fragment4036	22
fragment3797	22
fragment3798	22
fragment3999	22
fragment4003	22
fragment3751	22
fragment8884	22
fragment8885	22
fragment8807	22
fragment8871	22
fragment8833	22
fragment8813	22
fragment8803	22
fragment3939	22
fragment3942	22
fragment3963	22
fragment3954	22
fragment4103	22
fragment4112	22
fragment4071	22
fragment8822	22
fragment8815	22
fragment8831	22
fragment8799	22
fragment8802	22
fragment3945	22
fragment3953	22
fragment3955	22
fragment4115	22
fragment4068	22
fragment4067	22
fragment4100	22
fragment4099	22
fragment3970	22
fragment3959	22
fragment4045	22
fragment4104	22
fragment4057	22
fragment4049	22
fragment4043	22
fragment4097	22
fragment4010	22
fragment3814	22
fragment8785	22
fragment8798	22
fragment8795	22
fragment8797	22
fragment4025	22
fragment4106	22
fragment4108	22
fragment3794	22
fragment3884	22
fragment4039	22
fragment4098	22
