SequenceName	ClusterNumber
fragment37629	1
fragment37631	1
fragment37877	-1
fragment37881	-1
fragment3633	2
fragment38075	2
fragment37612	2
fragment1592	-1
fragment1594	-1
fragment3047	3
fragment4344	3
fragment4341	3
fragment4338	3
fragment4337	3
fragment4334	4
fragment4342	4
fragment4346	4
fragment3046	4
fragment2220	-1
fragment9647	5
fragment9649	5
fragment9645	5
fragment9672	5
fragment9729	5
fragment9639	5
fragment9704	5
fragment9692	5
fragment9643	5
fragment9676	5
fragment9680	5
fragment9661	5
fragment64	5
fragment9727	5
fragment2027	5
fragment63	5
fragment9689	5
fragment5152	5
fragment9677	5
fragment9996	5
fragment9668	5
fragment9655	5
fragment9652	5
fragment9654	5
fragment10807	5
fragment9715	5
fragment10826	5
fragment10809	5
fragment3645	5
fragment2306	5
fragment1490	-1
fragment1458	-1
fragment1512	-1
fragment1483	-1
fragment1453	-1
fragment1454	-1
fragment1540	-1
fragment38070	-1
fragment1509	-1
fragment1448	-1
fragment1530	-1
fragment2785	-1
fragment25686	6
fragment25785	6
fragment24721	6
fragment25009	6
fragment25718	6
fragment25706	6
fragment25792	6
fragment24738	6
fragment25061	6
fragment15914	6
fragment25680	6
fragment24741	6
fragment24988	6
fragment24984	6
fragment24724	6
fragment24736	6
fragment24791	6
fragment24792	6
fragment25006	6
fragment25768	6
fragment25700	6
fragment25008	6
fragment25007	6
fragment24735	6
fragment25819	6
fragment25681	6
fragment25688	6
fragment25687	6
fragment25053	6
fragment25695	6
fragment25699	6
fragment24757	6
fragment4449	6
fragment24753	6
fragment25676	7
fragment24787	7
fragment25799	7
fragment25849	7
fragment24782	7
fragment25692	7
fragment24837	7
fragment25696	7
fragment24808	7
fragment24675	7
fragment24732	7
fragment24957	7
fragment25727	7
fragment25710	7
fragment25848	7
fragment24962	7
fragment24956	7
fragment25981	7
fragment25057	7
fragment25805	8
fragment25782	8
fragment25673	8
fragment25740	8
fragment25794	8
fragment25859	8
fragment25860	8
fragment25741	8
fragment25714	8
fragment25742	8
fragment25982	8
fragment25734	8
fragment24722	8
fragment25671	8
fragment24961	8
fragment25738	8
fragment25737	8
fragment25749	8
fragment25753	8
fragment25879	9
fragment26047	9
fragment26051	9
fragment25752	9
fragment25750	9
fragment25850	9
fragment24975	9
fragment25651	9
fragment24971	9
fragment25786	9
fragment26365	9
fragment25851	9
fragment26004	9
fragment25833	9
fragment24838	10
fragment24841	10
fragment24848	10
fragment24825	10
fragment24818	10
fragment24845	10
fragment24849	10
fragment24842	10
fragment24840	10
fragment24937	10
fragment24860	10
fragment24851	10
fragment24846	10
fragment24843	10
fragment24872	10
fragment24870	10
fragment24876	10
fragment24866	10
fragment24869	10
fragment24873	10
fragment24797	11
fragment25456	11
fragment25459	11
fragment25989	11
fragment25800	11
fragment25725	11
fragment24796	12
fragment24958	12
fragment24950	12
fragment24951	12
fragment24959	12
fragment24955	12
fragment24844	12
fragment21534	12
fragment24828	12
fragment25012	12
fragment25452	12
fragment25020	12
fragment25013	12
fragment25019	12
fragment25021	12
fragment25014	12
fragment25015	12
fragment24793	12
fragment24907	12
fragment24898	12
fragment35285	12
fragment24931	12
fragment24902	12
fragment24888	12
fragment24897	12
fragment24886	12
fragment24896	12
fragment24910	12
fragment24921	12
fragment24903	12
fragment24904	12
fragment24905	12
fragment24909	12
fragment24918	12
fragment9414	12
fragment9318	12
fragment24889	12
fragment25063	12
fragment24900	12
fragment24890	12
fragment24887	12
fragment25802	13
fragment24807	13
fragment24798	13
fragment1898	13
fragment25837	14
fragment37522	14
fragment24801	14
fragment24805	14
fragment25090	15
fragment25997	15
fragment26357	15
fragment25991	15
fragment25973	15
fragment26001	15
fragment25990	15
fragment25950	15
fragment25951	15
fragment25946	15
fragment26025	15
fragment6751	15
fragment25494	15
fragment25082	15
fragment25888	15
fragment33619	15
fragment25895	15
fragment9567	15
fragment22874	15
fragment25980	15
fragment25912	15
fragment26345	15
fragment25894	15
fragment25955	15
fragment25969	15
fragment25902	15
fragment25920	15
fragment25472	15
fragment25890	15
fragment25918	15
fragment25482	15
fragment25934	15
fragment25957	15
fragment25915	15
fragment4458	15
fragment25500	15
fragment25916	15
fragment25979	15
fragment25930	15
fragment25928	15
fragment25968	15
fragment25899	15
fragment25910	15
fragment25904	15
fragment26039	16
fragment25602	16
fragment25638	16
fragment25110	16
fragment25109	16
fragment26009	16
fragment24693	16
fragment25599	16
fragment25632	16
fragment25531	16
fragment25523	16
fragment25544	16
fragment25541	16
fragment25619	16
fragment25596	16
fragment25528	16
fragment25527	16
fragment25518	16
fragment25621	16
fragment25620	16
fragment25557	16
fragment25558	16
fragment25560	16
fragment25583	16
fragment1895	16
fragment26348	16
fragment25571	16
fragment10417	16
fragment25565	16
fragment25613	16
fragment4357	16
fragment25623	16
fragment25543	16
fragment25579	16
fragment25635	16
fragment24690	16
fragment25547	16
fragment25585	16
fragment5622	16
fragment25624	16
fragment9145	16
fragment25595	16
fragment25804	17
fragment24734	17
fragment25852	17
fragment24990	17
fragment25762	17
fragment25075	17
fragment25824	17
fragment24995	17
fragment24994	17
fragment25759	17
fragment24731	17
fragment24966	17
fragment25758	17
fragment25760	17
fragment24720	17
fragment25661	17
fragment24777	17
fragment25821	17
fragment24774	17
fragment24779	17
fragment25660	17
fragment25490	17
fragment25665	17
fragment25607	17
fragment26045	17
fragment25662	17
fragment25825	17
fragment25815	17
fragment24972	18
fragment24970	18
fragment24685	18
fragment24682	18
fragment25840	18
fragment25843	18
fragment24790	18
fragment24622	18
fragment24619	18
fragment25032	18
fragment25050	18
fragment24620	18
fragment24621	18
fragment24623	18
fragment25038	18
fragment24710	18
fragment24968	18
fragment24973	18
fragment25772	18
fragment24649	18
fragment24615	18
fragment25028	18
fragment25469	18
fragment25025	18
fragment25036	18
fragment25041	18
fragment25046	18
fragment25773	18
fragment25047	18
fragment24770	18
fragment25774	18
